 pos. daughter  O 17 z= 8 a=17 Q=  2.762
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.20       7.0     1.222  -100.000  -100.000  -100.000    -1.236   -49.030    -0.788
      0.40       7.0     1.219  -100.000   -85.055   -86.036    -1.236   -26.574    -0.788
      0.70       7.0     1.212   -73.984   -50.236   -50.970    -1.236   -16.703    -0.788
      1.00       7.0     1.200   -52.099   -36.149   -36.724    -1.236   -12.615    -0.787
      1.50       7.0     1.173   -35.044   -25.040   -25.430    -1.236    -9.278    -0.786
      2.00       7.0     1.133   -26.490   -19.377   -19.630    -1.235    -7.489    -0.783
      3.00       7.0     1.021   -17.879   -13.542   -13.596    -1.232    -5.502    -0.770
      5.00       7.0     0.698   -10.891    -8.597    -8.378    -1.219    -3.544    -0.726
     10.00       7.0     0.196    -5.445    -3.944    -3.264    -1.169    -1.468    -0.366
     30.00       7.0     0.021    -0.862     1.230     2.385    -0.478     1.464     2.565
      0.01       8.0     2.447  -100.000  -100.000  -100.000    -1.388  -100.000    -1.024
      0.10       8.0     2.447  -100.000  -100.000  -100.000    -1.388  -100.000    -1.024
      0.20       8.0     2.446  -100.000  -100.000  -100.000    -1.388   -79.891    -1.024
      0.40       8.0     2.445  -100.000   -69.607   -70.587    -1.387   -42.022    -1.024
      0.70       8.0     2.442   -73.984   -41.381   -42.114    -1.387   -25.559    -1.022
      1.00       8.0     2.437   -52.099   -29.919   -30.495    -1.386   -18.845    -1.021
      1.50       8.0     2.424   -35.044   -20.838   -21.232    -1.384   -13.482    -1.016
      2.00       8.0     2.406   -26.490   -16.178   -16.441    -1.381   -10.696    -1.007
      3.00       8.0     2.355   -17.879   -11.329   -11.398    -1.371    -7.742    -0.975
      5.00       8.0     2.192   -10.886    -7.130    -6.923    -1.335    -5.046    -0.889
     10.00       8.0     1.493    -5.411    -3.323    -2.644    -1.223    -2.113    -0.603
     30.00       8.0     0.209    -0.857     1.261     2.416    -0.483     1.433     2.534
      0.01       9.0     5.180  -100.000  -100.000  -100.000    -3.021  -100.000    -3.291
      0.10       9.0     5.180  -100.000  -100.000  -100.000    -3.021  -100.000    -3.290
      0.20       9.0     5.180  -100.000   -65.787   -67.071    -3.019  -100.000    -3.287
      0.40       9.0     5.180  -100.000   -35.153   -36.134    -3.012   -76.476    -3.273
      0.70       9.0     5.178   -73.984   -21.680   -22.414    -2.994   -45.260    -3.238
      1.00       9.0     5.176   -52.099   -16.115   -16.690    -2.967   -32.649    -3.186
      1.50       9.0     5.170   -35.044   -11.614   -12.007    -2.896   -22.708    -3.046
      2.00       9.0     5.161   -26.490    -9.242    -9.505    -2.786   -17.639    -2.828
      3.00       9.0     5.138   -17.879    -6.683    -6.753    -2.522   -12.417    -2.374
      5.00       9.0     5.062   -10.886    -4.316    -4.133    -2.149    -7.939    -1.847
     10.00       9.0     4.708    -5.401    -1.912    -1.240    -1.665    -3.731    -1.176
     30.00       9.0     1.972    -0.824     1.544     2.703    -0.538     1.141     2.242
      0.01      10.0    11.118  -100.000    -0.514    -0.228  -100.000  -100.000  -100.000
      0.10      10.0    11.118  -100.000    -0.514    -0.228  -100.000  -100.000  -100.000
      0.20      10.0    11.118  -100.000    -0.514    -0.228   -96.945  -100.000   -98.233
      0.40      10.0    11.118  -100.000    -0.513    -0.226   -50.959  -100.000   -51.948
      0.70      10.0    11.117   -73.984    -0.511    -0.223   -30.912   -88.019   -31.660
      1.00      10.0    11.116   -52.099    -0.508    -0.217   -22.724   -62.587   -23.318
      1.50      10.0    11.113   -35.044    -0.501    -0.204   -16.198   -42.677   -16.619
      2.00      10.0    11.109   -26.490    -0.490    -0.183   -12.841   -32.628   -13.140
      3.00      10.0    11.098   -17.879    -0.441    -0.094    -9.375   -22.431    -9.498
      5.00      10.0    11.063   -10.886    -0.202     0.286    -6.388   -13.988    -6.271
     10.00      10.0    10.898    -5.401     0.374     1.088    -3.619    -6.851    -3.210
     30.00      10.0     9.163    -0.786     2.594     3.799    -1.073    -0.063     1.049
      0.01      11.0    23.934  -100.000     2.672     3.700  -100.000  -100.000  -100.000
      0.10      11.0    23.934  -100.000     2.672     3.700  -100.000  -100.000  -100.000
      0.20      11.0    23.934  -100.000     2.672     3.700  -100.000  -100.000  -100.000
      0.40      11.0    23.934  -100.000     2.672     3.700  -100.000  -100.000  -100.000
      0.70      11.0    23.933   -73.984     2.672     3.700  -100.000  -100.000  -100.000
      1.00      11.0    23.933   -52.099     2.672     3.700   -86.702  -100.000   -87.294
      1.50      11.0    23.931   -35.044     2.672     3.701   -58.643   -85.744   -59.062
      2.00      11.0    23.930   -26.490     2.673     3.702   -44.518   -64.933   -44.814
      3.00      11.0    23.924   -17.879     2.677     3.707   -30.281   -43.977   -30.405
      5.00      11.0    23.908   -10.886     2.708     3.750   -18.723   -26.935   -18.636
     10.00      11.0    23.832    -5.401     2.833     3.917    -9.695   -13.369    -9.340
     30.00      11.0    23.015    -0.783     4.038     5.399    -3.083    -2.390    -1.263
 pos. daughter NE 20 z=10 a=20 Q= 13.887
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       1.0     0.508     0.176    -5.992     0.890  -100.000  -100.000  -100.000
      0.10       1.0     0.453     0.176    -6.458     0.890  -100.000  -100.000  -100.000
      0.20       1.0     0.377     0.176    -6.574     0.890  -100.000  -100.000  -100.000
      0.40       1.0     0.205     0.176    -6.668     0.890  -100.000  -100.000  -100.000
      0.70       1.0     0.008     0.176    -6.084     0.890  -100.000   -99.848  -100.000
      1.00       1.0     0.000     0.176    -4.792     0.890   -77.121   -70.420   -70.988
      1.50       1.0     0.000     0.175    -3.631     0.889   -52.651   -47.382   -47.765
      2.00       1.0     0.000     0.172    -2.964     0.887   -40.333   -35.721   -35.971
      3.00       1.0     0.000     0.165    -2.157     0.883   -27.761   -23.830   -23.888
      5.00       1.0     0.000     0.155    -1.250     0.891   -17.118   -13.947   -13.757
     10.00       1.0     0.000     0.150    -0.036     1.153    -8.618    -5.986    -5.449
     30.00       1.0     0.000     0.598     2.107     3.300    -2.370     0.543     1.615
      0.01       2.0     0.510     0.176    -5.012     0.890  -100.000  -100.000  -100.000
      0.10       2.0     0.473     0.176    -5.459     0.890  -100.000  -100.000  -100.000
      0.20       2.0     0.416     0.176    -5.574     0.890  -100.000  -100.000  -100.000
      0.40       2.0     0.284     0.176    -5.668     0.890  -100.000  -100.000  -100.000
      0.70       2.0     0.065     0.176    -5.671     0.890  -100.000  -100.000  -100.000
      1.00       2.0     0.005     0.176    -4.770     0.890   -77.121   -70.442   -71.010
      1.50       2.0     0.000     0.175    -3.630     0.889   -52.651   -47.383   -47.767
      2.00       2.0     0.000     0.172    -2.964     0.887   -40.333   -35.721   -35.971
      3.00       2.0     0.000     0.165    -2.157     0.883   -27.761   -23.830   -23.888
      5.00       2.0     0.000     0.155    -1.250     0.891   -17.118   -13.947   -13.757
     10.00       2.0     0.000     0.150    -0.036     1.153    -8.618    -5.986    -5.449
     30.00       2.0     0.000     0.598     2.107     3.300    -2.370     0.543     1.615
      0.01       3.0     0.513     0.176    -4.141     0.890  -100.000  -100.000  -100.000
      0.10       3.0     0.493     0.176    -4.464     0.890  -100.000  -100.000  -100.000
      0.20       3.0     0.456     0.176    -4.576     0.890  -100.000  -100.000  -100.000
      0.40       3.0     0.364     0.176    -4.668     0.890  -100.000  -100.000  -100.000
      0.70       3.0     0.197     0.176    -4.724     0.890  -100.000  -100.000  -100.000
      1.00       3.0     0.046     0.176    -4.564     0.890   -77.121   -70.648   -71.216
      1.50       3.0     0.005     0.175    -3.615     0.889   -52.651   -47.398   -47.781
      2.00       3.0     0.001     0.172    -2.960     0.887   -40.333   -35.724   -35.974
      3.00       3.0     0.000     0.165    -2.157     0.883   -27.761   -23.830   -23.889
      5.00       3.0     0.000     0.155    -1.250     0.891   -17.118   -13.947   -13.757
     10.00       3.0     0.000     0.150    -0.036     1.153    -8.618    -5.986    -5.449
     30.00       3.0     0.000     0.598     2.107     3.300    -2.370     0.543     1.615
      0.01       4.0     0.523     0.176    -3.418     0.890  -100.000  -100.000  -100.000
      0.10       4.0     0.516     0.176    -3.510     0.890  -100.000  -100.000  -100.000
      0.20       4.0     0.498     0.176    -3.591     0.890  -100.000  -100.000  -100.000
      0.40       4.0     0.444     0.176    -3.673     0.890  -100.000  -100.000  -100.000
      0.70       4.0     0.337     0.176    -3.726     0.890  -100.000  -100.000  -100.000
      1.00       4.0     0.209     0.176    -3.746     0.890   -77.123   -71.470   -72.038
      1.50       4.0     0.047     0.175    -3.475     0.889   -52.652   -47.539   -47.923
      2.00       4.0     0.014     0.172    -2.929     0.887   -40.334   -35.756   -36.006
      3.00       4.0     0.004     0.165    -2.152     0.883   -27.761   -23.836   -23.894
      5.00       4.0     0.001     0.155    -1.249     0.891   -17.118   -13.948   -13.758
     10.00       4.0     0.000     0.150    -0.036     1.153    -8.618    -5.986    -5.449
     30.00       4.0     0.000     0.598     2.107     3.300    -2.370     0.543     1.615
      0.01       5.0     0.564     0.176    -2.653     0.891  -100.000  -100.000  -100.000
      0.10       5.0     0.563     0.176    -2.658     0.891  -100.000  -100.000  -100.000
      0.20       5.0     0.558     0.176    -2.672     0.891  -100.000  -100.000  -100.000
      0.40       5.0     0.537     0.176    -2.703     0.891  -100.000  -100.000  -100.000
      0.70       5.0     0.485     0.176    -2.736     0.891  -100.000  -100.000  -100.000
      1.00       5.0     0.413     0.176    -2.754     0.891   -77.143   -72.501   -73.070
      1.50       5.0     0.265     0.175    -2.756     0.890   -52.664   -48.273   -48.657
      2.00       5.0     0.128     0.172    -2.647     0.887   -40.340   -36.044   -36.294
      3.00       5.0     0.035     0.165    -2.100     0.883   -27.764   -23.889   -23.948
      5.00       5.0     0.009     0.155    -1.241     0.891   -17.118   -13.956   -13.766
     10.00       5.0     0.002     0.150    -0.035     1.154    -8.618    -5.987    -5.450
     30.00       5.0     0.000     0.598     2.107     3.300    -2.370     0.543     1.615
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       6.0     0.726     0.176    -1.773     0.895  -100.000  -100.000  -100.000
      0.10       6.0     0.725     0.176    -1.773     0.895  -100.000  -100.000  -100.000
      0.20       6.0     0.724     0.176    -1.773     0.895  -100.000  -100.000  -100.000
      0.40       6.0     0.718     0.176    -1.773     0.895  -100.000  -100.000  -100.000
      0.70       6.0     0.700     0.176    -1.773     0.895  -100.000  -100.000  -100.000
      1.00       6.0     0.672     0.176    -1.773     0.895   -77.326   -73.804   -74.373
      1.50       6.0     0.604     0.175    -1.770     0.895   -52.792   -49.410   -49.794
      2.00       6.0     0.512     0.172    -1.760     0.892   -40.426   -37.011   -37.261
      3.00       6.0     0.299     0.165    -1.682     0.887   -27.794   -24.332   -24.390
      5.00       6.0     0.091     0.156    -1.162     0.896   -17.124   -14.039   -13.849
     10.00       6.0     0.020     0.150    -0.026     1.158    -8.619    -5.996    -5.459
     30.00       6.0     0.002     0.598     2.108     3.300    -2.370     0.542     1.615
      0.01       7.0     1.223     0.176    -0.765     0.941  -100.000  -100.000  -100.000
      0.10       7.0     1.222     0.176    -0.765     0.941  -100.000  -100.000  -100.000
      0.20       7.0     1.222     0.176    -0.765     0.941  -100.000  -100.000  -100.000
      0.40       7.0     1.219     0.176    -0.764     0.941  -100.000  -100.000  -100.000
      0.70       7.0     1.212     0.176    -0.762     0.942  -100.000  -100.000  -100.000
      1.00       7.0     1.200     0.176    -0.759     0.942   -78.804   -76.467   -77.034
      1.50       7.0     1.173     0.175    -0.752     0.942   -53.743   -51.321   -51.703
      2.00       7.0     1.133     0.172    -0.740     0.942   -41.072   -38.576   -38.826
      3.00       7.0     1.021     0.166    -0.709     0.941   -28.089   -25.546   -25.603
      5.00       7.0     0.698     0.157    -0.610     0.952   -17.196   -14.650   -14.459
     10.00       7.0     0.196     0.152     0.058     1.202    -8.629    -6.084    -5.547
     30.00       7.0     0.021     0.599     2.111     3.303    -2.371     0.539     1.612
      0.01       8.0     2.447     0.176     0.374     1.351  -100.000  -100.000  -100.000
      0.10       8.0     2.447     0.176     0.374     1.351  -100.000  -100.000  -100.000
      0.20       8.0     2.446     0.176     0.374     1.351  -100.000  -100.000  -100.000
      0.40       8.0     2.445     0.176     0.375     1.352  -100.000  -100.000  -100.000
      0.70       8.0     2.442     0.176     0.376     1.353  -100.000  -100.000  -100.000
      1.00       8.0     2.437     0.176     0.377     1.354   -84.275   -82.697   -83.255
      1.50       8.0     2.424     0.175     0.381     1.357   -57.114   -55.525   -55.898
      2.00       8.0     2.406     0.172     0.388     1.361   -43.329   -41.783   -42.021
      3.00       8.0     2.355     0.166     0.408     1.374   -29.268   -27.786   -27.830
      5.00       8.0     2.192     0.157     0.460     1.418   -17.718   -16.156   -15.956
     10.00       8.0     1.493     0.159     0.646     1.615    -8.759    -6.737    -6.199
     30.00       8.0     0.209     0.602     2.141     3.333    -2.377     0.508     1.581
      0.01       9.0     5.180     0.176     1.665     2.569  -100.000  -100.000  -100.000
      0.10       9.0     5.180     0.176     1.665     2.569  -100.000  -100.000  -100.000
      0.20       9.0     5.180     0.176     1.665     2.569  -100.000  -100.000  -100.000
      0.40       9.0     5.180     0.176     1.665     2.569  -100.000  -100.000  -100.000
      0.70       9.0     5.178     0.176     1.665     2.570  -100.000  -100.000  -100.000
      1.00       9.0     5.176     0.176     1.666     2.571   -96.878   -96.502   -96.927
      1.50       9.0     5.170     0.175     1.668     2.573   -65.176   -64.751   -65.009
      2.00       9.0     5.161     0.172     1.672     2.577   -49.201   -48.727   -48.866
      3.00       9.0     5.138     0.166     1.684     2.590   -33.032   -32.461   -32.433
      5.00       9.0     5.062     0.157     1.714     2.627   -19.817   -19.049   -18.808
     10.00       9.0     4.708     0.161     1.806     2.756    -9.587    -8.357    -7.806
     30.00       9.0     1.972     0.626     2.422     3.617    -2.450     0.215     1.286
      0.01      10.0    11.118     0.176     3.116     4.194  -100.000  -100.000  -100.000
      0.10      10.0    11.118     0.176     3.116     4.194  -100.000  -100.000  -100.000
      0.20      10.0    11.118     0.176     3.116     4.194  -100.000  -100.000  -100.000
      0.40      10.0    11.118     0.176     3.116     4.194  -100.000  -100.000  -100.000
      0.70      10.0    11.117     0.176     3.116     4.194  -100.000  -100.000  -100.000
      1.00      10.0    11.116     0.176     3.116     4.194  -100.000  -100.000  -100.000
      1.50      10.0    11.113     0.175     3.118     4.196   -84.701   -84.720   -84.813
      2.00      10.0    11.109     0.172     3.121     4.199   -63.739   -63.715   -63.702
      3.00      10.0    11.098     0.166     3.130     4.209   -42.588   -42.474   -42.319
      5.00      10.0    11.063     0.157     3.149     4.230   -25.388   -25.098   -24.768
     10.00      10.0    10.898     0.161     3.192     4.291   -12.176   -11.477   -10.892
     30.00      10.0     9.163     0.654     3.451     4.692    -3.095    -0.990     0.081
      0.01      11.0    23.934     0.176     4.680     6.017  -100.000  -100.000  -100.000
      0.10      11.0    23.934     0.176     4.680     6.017  -100.000  -100.000  -100.000
      0.20      11.0    23.934     0.176     4.680     6.017  -100.000  -100.000  -100.000
      0.40      11.0    23.934     0.176     4.680     6.017  -100.000  -100.000  -100.000
      0.70      11.0    23.933     0.176     4.680     6.017  -100.000  -100.000  -100.000
      1.00      11.0    23.933     0.176     4.681     6.017  -100.000  -100.000  -100.000
      1.50      11.0    23.931     0.175     4.681     6.018  -100.000  -100.000  -100.000
      2.00      11.0    23.930     0.172     4.684     6.021   -95.867   -96.020   -95.920
      3.00      11.0    23.924     0.166     4.692     6.029   -63.963   -64.021   -63.792
      5.00      11.0    23.908     0.157     4.706     6.044   -38.173   -38.045   -37.665
     10.00      11.0    23.832     0.161     4.729     6.073   -18.543   -17.995   -17.392
     30.00      11.0    23.015     0.656     4.837     6.236    -5.218    -3.317    -2.246
 pos. daughter NA 20 z=11 a=20 Q= 10.731
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       1.0     0.508     0.766    -5.259     1.345  -100.000  -100.000  -100.000
      0.10       1.0     0.453     0.766    -5.731     1.345  -100.000  -100.000  -100.000
      0.20       1.0     0.377     0.766    -5.852     1.345  -100.000  -100.000  -100.000
      0.40       1.0     0.205     0.766    -5.952     1.345  -100.000  -100.000  -100.000
      0.70       1.0     0.008     0.766    -5.374     1.345   -85.971   -77.822   -78.554
      1.00       1.0     0.000     0.766    -4.086     1.345   -62.028   -55.216   -55.790
      1.50       1.0     0.000     0.766    -2.933     1.345   -43.401   -37.503   -37.893
      2.00       1.0     0.000     0.766    -2.274     1.346   -34.005   -28.543   -28.802
      3.00       1.0     0.000     0.765    -1.486     1.349   -24.163   -19.457   -19.527
      5.00       1.0     0.000     0.766    -0.617     1.380   -15.861   -11.977   -11.804
     10.00       1.0     0.000     0.799     0.504     1.731    -8.989    -5.817    -5.303
     30.00       1.0     0.000     1.382     2.496     3.730    -3.677    -0.138     0.916
      0.01       2.0     0.510     0.766    -4.279     1.345  -100.000  -100.000  -100.000
      0.10       2.0     0.473     0.766    -4.732     1.345  -100.000  -100.000  -100.000
      0.20       2.0     0.416     0.766    -4.852     1.345  -100.000  -100.000  -100.000
      0.40       2.0     0.284     0.766    -4.952     1.345  -100.000  -100.000  -100.000
      0.70       2.0     0.065     0.766    -4.961     1.345   -85.971   -78.235   -78.967
      1.00       2.0     0.005     0.766    -4.065     1.345   -62.028   -55.238   -55.811
      1.50       2.0     0.000     0.766    -2.932     1.345   -43.401   -37.505   -37.895
      2.00       2.0     0.000     0.766    -2.274     1.346   -34.005   -28.543   -28.802
      3.00       2.0     0.000     0.765    -1.486     1.349   -24.163   -19.457   -19.527
      5.00       2.0     0.000     0.766    -0.617     1.380   -15.861   -11.977   -11.804
     10.00       2.0     0.000     0.799     0.504     1.731    -8.989    -5.817    -5.303
     30.00       2.0     0.000     1.382     2.496     3.730    -3.677    -0.138     0.916
      0.01       3.0     0.513     0.766    -3.409     1.345  -100.000  -100.000  -100.000
      0.10       3.0     0.493     0.766    -3.738     1.345  -100.000  -100.000  -100.000
      0.20       3.0     0.456     0.766    -3.853     1.345  -100.000  -100.000  -100.000
      0.40       3.0     0.364     0.766    -3.952     1.345  -100.000  -100.000  -100.000
      0.70       3.0     0.197     0.766    -4.014     1.345   -85.972   -79.183   -79.916
      1.00       3.0     0.046     0.766    -3.859     1.345   -62.028   -55.444   -56.017
      1.50       3.0     0.005     0.766    -2.917     1.345   -43.402   -37.519   -37.909
      2.00       3.0     0.001     0.766    -2.270     1.346   -34.005   -28.547   -28.805
      3.00       3.0     0.000     0.765    -1.485     1.349   -24.163   -19.457   -19.528
      5.00       3.0     0.000     0.766    -0.617     1.380   -15.861   -11.977   -11.804
     10.00       3.0     0.000     0.799     0.504     1.731    -8.989    -5.817    -5.303
     30.00       3.0     0.000     1.382     2.496     3.730    -3.677    -0.138     0.916
      0.01       4.0     0.523     0.766    -2.689     1.346  -100.000  -100.000  -100.000
      0.10       4.0     0.516     0.766    -2.785     1.346  -100.000  -100.000  -100.000
      0.20       4.0     0.498     0.766    -2.869     1.346  -100.000  -100.000  -100.000
      0.40       4.0     0.444     0.766    -2.957     1.345  -100.000  -100.000  -100.000
      0.70       4.0     0.337     0.766    -3.016     1.345   -85.977   -80.190   -80.922
      1.00       4.0     0.209     0.766    -3.041     1.345   -62.032   -56.266   -56.839
      1.50       4.0     0.047     0.766    -2.777     1.346   -43.403   -37.661   -38.051
      2.00       4.0     0.014     0.766    -2.239     1.346   -34.006   -28.578   -28.837
      3.00       4.0     0.004     0.765    -1.480     1.349   -24.163   -19.463   -19.533
      5.00       4.0     0.001     0.766    -0.616     1.381   -15.861   -11.978   -11.805
     10.00       4.0     0.000     0.799     0.504     1.731    -8.989    -5.817    -5.303
     30.00       4.0     0.000     1.382     2.496     3.730    -3.677    -0.138     0.916
      0.01       5.0     0.564     0.766    -1.935     1.347  -100.000  -100.000  -100.000
      0.10       5.0     0.563     0.766    -1.940     1.347  -100.000  -100.000  -100.000
      0.20       5.0     0.558     0.766    -1.955     1.347  -100.000  -100.000  -100.000
      0.40       5.0     0.537     0.766    -1.990     1.347  -100.000  -100.000  -100.000
      0.70       5.0     0.485     0.766    -2.027     1.347   -86.032   -81.256   -81.988
      1.00       5.0     0.413     0.766    -2.049     1.347   -62.072   -57.297   -57.871
      1.50       5.0     0.265     0.766    -2.059     1.347   -43.426   -38.394   -38.785
      2.00       5.0     0.128     0.766    -1.957     1.347   -34.015   -28.867   -29.125
      3.00       5.0     0.035     0.766    -1.428     1.350   -24.165   -19.516   -19.587
      5.00       5.0     0.009     0.766    -0.608     1.381   -15.861   -11.986   -11.813
     10.00       5.0     0.002     0.799     0.505     1.731    -8.989    -5.818    -5.304
     30.00       5.0     0.000     1.382     2.496     3.730    -3.677    -0.138     0.916
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       6.0     0.726     0.766    -1.069     1.356  -100.000  -100.000  -100.000
      0.10       6.0     0.725     0.766    -1.069     1.356  -100.000  -100.000  -100.000
      0.20       6.0     0.724     0.766    -1.069     1.356  -100.000  -100.000  -100.000
      0.40       6.0     0.718     0.766    -1.069     1.356  -100.000  -100.000  -100.000
      0.70       6.0     0.700     0.766    -1.072     1.356   -86.520   -82.806   -83.538
      1.00       6.0     0.672     0.766    -1.074     1.356   -62.437   -58.601   -59.174
      1.50       6.0     0.604     0.766    -1.076     1.356   -43.655   -39.532   -39.922
      2.00       6.0     0.512     0.766    -1.073     1.356   -34.137   -29.833   -30.092
      3.00       6.0     0.299     0.766    -1.011     1.358   -24.189   -19.959   -20.029
      5.00       6.0     0.091     0.766    -0.530     1.388   -15.867   -12.069   -11.896
     10.00       6.0     0.020     0.800     0.514     1.736    -8.990    -5.827    -5.313
     30.00       6.0     0.002     1.382     2.496     3.730    -3.677    -0.138     0.916
      0.01       7.0     1.223     0.766    -0.081     1.439  -100.000  -100.000  -100.000
      0.10       7.0     1.222     0.766    -0.081     1.439  -100.000  -100.000  -100.000
      0.20       7.0     1.222     0.766    -0.081     1.439  -100.000  -100.000  -100.000
      0.40       7.0     1.219     0.766    -0.081     1.440  -100.000  -100.000  -100.000
      0.70       7.0     1.212     0.766    -0.079     1.440   -89.806   -86.490   -87.222
      1.00       7.0     1.200     0.766    -0.077     1.440   -64.703   -61.264   -61.837
      1.50       7.0     1.173     0.766    -0.072     1.442   -44.910   -41.442   -41.833
      2.00       7.0     1.133     0.766    -0.065     1.444   -34.769   -31.399   -31.657
      3.00       7.0     1.021     0.766    -0.047     1.450   -24.410   -21.173   -21.243
      5.00       7.0     0.698     0.768     0.019     1.476   -15.940   -12.680   -12.507
     10.00       7.0     0.196     0.802     0.597     1.782    -8.999    -5.915    -5.401
     30.00       7.0     0.021     1.382     2.500     3.733    -3.678    -0.141     0.913
      0.01       8.0     2.447     0.766     1.021     1.991  -100.000  -100.000  -100.000
      0.10       8.0     2.447     0.766     1.021     1.991  -100.000  -100.000  -100.000
      0.20       8.0     2.446     0.766     1.022     1.991  -100.000  -100.000  -100.000
      0.40       8.0     2.445     0.766     1.022     1.991  -100.000  -100.000  -100.000
      0.70       8.0     2.442     0.766     1.022     1.992   -97.543   -95.346   -96.075
      1.00       8.0     2.437     0.766     1.024     1.993   -69.644   -67.494   -68.064
      1.50       8.0     2.424     0.766     1.026     1.996   -47.726   -45.647   -46.033
      2.00       8.0     2.406     0.766     1.030     2.001   -36.675   -34.606   -34.861
      3.00       8.0     2.355     0.766     1.040     2.012   -25.554   -23.413   -23.481
      5.00       8.0     2.192     0.769     1.067     2.048   -16.529   -14.186   -14.012
     10.00       8.0     1.493     0.811     1.179     2.204    -9.117    -6.569    -6.054
     30.00       8.0     0.209     1.385     2.530     3.763    -3.685    -0.173     0.881
      0.01       9.0     5.180     0.766     2.252     3.217  -100.000  -100.000  -100.000
      0.10       9.0     5.180     0.766     2.252     3.217  -100.000  -100.000  -100.000
      0.20       9.0     5.180     0.766     2.252     3.217  -100.000  -100.000  -100.000
      0.40       9.0     5.180     0.766     2.252     3.217  -100.000  -100.000  -100.000
      0.70       9.0     5.178     0.766     2.252     3.218  -100.000  -100.000  -100.000
      1.00       9.0     5.176     0.766     2.252     3.218   -82.787   -81.299   -81.859
      1.50       9.0     5.170     0.766     2.253     3.220   -56.377   -54.873   -55.250
      2.00       9.0     5.161     0.766     2.255     3.222   -43.014   -41.549   -41.792
      3.00       9.0     5.138     0.766     2.259     3.229   -29.462   -28.088   -28.139
      5.00       9.0     5.062     0.769     2.269     3.246   -18.438   -17.079   -16.890
     10.00       9.0     4.708     0.814     2.308     3.318    -9.873    -8.189    -7.669
     30.00       9.0     1.972     1.406     2.808     4.041    -3.770    -0.467     0.586
      0.01      10.0    11.118     0.766     3.622     4.755  -100.000  -100.000  -100.000
      0.10      10.0    11.118     0.766     3.622     4.755  -100.000  -100.000  -100.000
      0.20      10.0    11.118     0.766     3.622     4.755  -100.000  -100.000  -100.000
      0.40      10.0    11.118     0.766     3.622     4.755  -100.000  -100.000  -100.000
      0.70      10.0    11.117     0.766     3.622     4.755  -100.000  -100.000  -100.000
      1.00      10.0    11.116     0.766     3.623     4.756  -100.000  -100.000  -100.000
      1.50      10.0    11.113     0.766     3.623     4.756   -75.424   -74.842   -75.139
      2.00      10.0    11.109     0.766     3.623     4.757   -57.160   -56.538   -56.713
      3.00      10.0    11.098     0.766     3.625     4.759   -38.803   -38.101   -38.105
      5.00      10.0    11.063     0.769     3.627     4.764   -23.989   -23.128   -22.913
     10.00      10.0    10.898     0.814     3.636     4.783   -12.591   -11.309   -10.782
     30.00      10.0     9.163     1.429     3.824     5.097    -4.500    -1.673    -0.621
      0.01      11.0    23.934     0.766     5.111     6.485  -100.000  -100.000  -100.000
      0.10      11.0    23.934     0.766     5.111     6.485  -100.000  -100.000  -100.000
      0.20      11.0    23.934     0.766     5.111     6.485  -100.000  -100.000  -100.000
      0.40      11.0    23.934     0.766     5.111     6.485  -100.000  -100.000  -100.000
      0.70      11.0    23.933     0.766     5.111     6.485  -100.000  -100.000  -100.000
      1.00      11.0    23.933     0.766     5.111     6.485  -100.000  -100.000  -100.000
      1.50      11.0    23.931     0.766     5.112     6.485  -100.000  -100.000  -100.000
      2.00      11.0    23.930     0.766     5.112     6.485   -89.428   -88.843   -89.012
      3.00      11.0    23.924     0.766     5.112     6.486   -60.312   -59.648   -59.646
      5.00      11.0    23.908     0.769     5.112     6.487   -36.895   -36.075   -35.856
     10.00      11.0    23.832     0.814     5.111     6.488   -19.061   -17.827   -17.299
     30.00      11.0    23.015     1.430     5.176     6.600    -6.706    -4.000    -2.948
 pos. daughter  O 21 z= 8 a=21 Q= -8.105
        T9     RHOYE        UF     E+DEC     E-CAP      NEUE     E-DEC     E+CAP   NEUEBAR
      0.01       1.0     0.508  -100.000  -100.000  -100.000    -0.893  -100.000    -0.475
      0.10       1.0     0.453  -100.000  -100.000  -100.000    -0.893   -53.771    -0.475
      0.20       1.0     0.377  -100.000  -100.000  -100.000    -0.893   -26.948    -0.475
      0.40       1.0     0.205  -100.000  -100.000  -100.000    -0.893   -13.011    -0.475
      0.70       1.0     0.008   -74.128   -66.631   -67.358    -0.893    -7.258    -0.475
      1.00       1.0     0.000   -53.581   -47.594   -48.159    -0.893    -5.791    -0.475
      1.50       1.0     0.000   -37.337   -32.569   -32.946    -0.893    -4.561    -0.475
      2.00       1.0     0.000   -28.877   -24.932   -25.171    -0.893    -3.854    -0.474
      3.00       1.0     0.000   -19.929   -17.109   -17.148    -0.888    -2.997    -0.461
      5.00       1.0     0.000   -12.556   -10.518   -10.288    -0.839    -2.016    -0.337
