               Y_n               Y_p             Y_he4             Y_c12            Y_ne20            Y_na23            Y_mg23             E_nuc              Time
     9.17571162945088E-11     1.64235349465619E-08     2.03171621495531E-08     8.33329263350916E-02     2.03171621495531E-08     1.64235348008308E-08     9.17572620255683E-11     1.25856470067012E+11     2.80000000000000E-03
     9.50341477713428E-11     1.70100892344517E-08     2.10427744191302E-08     8.33329237042044E-02     2.10427744191302E-08     1.70100890781255E-08     9.50343040976088E-11     1.30351339878622E+11     2.90000000000000E-03
     9.83111786694983E-11     1.75966434856774E-08     2.17683866428910E-08     8.33329210733174E-02     2.17683866428910E-08     1.75966433183842E-08     9.83113459627320E-11     1.34846209406139E+11     3.00000000000000E-03
     1.01588208988975E-10     1.81831977002390E-08     2.24939988208356E-08     8.33329184424306E-02     2.24939988208356E-08     1.81831975216070E-08     1.01588387620938E-10     1.39341078649562E+11     3.10000000000000E-03
     1.04865238729774E-10     1.87697518781363E-08     2.32196109529639E-08     8.33329158115439E-02     2.32196109529639E-08     1.87697516877939E-08     1.04865429072226E-10     1.43835947608892E+11     3.20000000000000E-03
     1.08142267891894E-10     1.93563060193695E-08     2.39452230392760E-08     8.33329131806574E-02     2.39452230392760E-08     1.93563058169448E-08     1.08142470316597E-10     1.48330816284128E+11     3.30000000000000E-03
     1.11419296475335E-10     1.99428601239386E-08     2.46708350797718E-08     8.33329105497710E-02     2.46708350797718E-08     1.99428599090599E-08     1.11419511354050E-10     1.52825684675270E+11     3.40000000000000E-03
     1.14696324480098E-10     2.05294141918434E-08     2.53964470744514E-08     8.33329079188848E-02     2.53964470744514E-08     2.05294139641389E-08     1.14696552184586E-10     1.57320552782320E+11     3.50000000000000E-03
     1.17973351906182E-10     2.11159682230841E-08     2.61220590233147E-08     8.33329052879988E-02     2.61220590233147E-08     2.11159679821821E-08     1.17973592808205E-10     1.61815420605275E+11     3.60000000000000E-03
     1.21250378753588E-10     2.17025222176607E-08     2.68476709263617E-08     8.33329026571130E-02     2.68476709263617E-08     2.17025219631894E-08     1.21250633224906E-10     1.66310288144137E+11     3.70000000000000E-03
     1.24527405022315E-10     2.22890761755730E-08     2.75732827835925E-08     8.33329000262273E-02     2.75732827835925E-08     2.22890759071607E-08     1.24527673434690E-10     1.70805155398906E+11     3.80000000000000E-03
     1.27804430712363E-10     2.28756300968213E-08     2.82988945950070E-08     8.33328973953418E-02     2.82988945950070E-08     2.28756298140961E-08     1.27804713437556E-10     1.75300022369581E+11     3.90000000000000E-03
     1.31081455823733E-10     2.34621839814053E-08     2.90245063606052E-08     8.33328947644564E-02     2.90245063606052E-08     2.34621836839955E-08     1.31081753233505E-10     1.79794889056162E+11     4.00000000000000E-03
     1.34358480356425E-10     2.40487378293252E-08     2.97501180803872E-08     8.33328921335712E-02     2.97501180803872E-08     2.40487375168590E-08     1.34358792822537E-10     1.84289755458650E+11     4.10000000000000E-03
     1.37635504310438E-10     2.46352916405809E-08     3.04757297543529E-08     8.33328895026862E-02     3.04757297543529E-08     2.46352913126866E-08     1.37635832204651E-10     1.88784621577044E+11     4.20000000000000E-03
     1.40912527685772E-10     2.52218454151724E-08     3.12013413825024E-08     8.33328868718014E-02     3.12013413825024E-08     2.52218450714783E-08     1.40912871379848E-10     1.93279487411345E+11     4.30000000000000E-03
     1.44189550482428E-10     2.58083991530998E-08     3.19269529648356E-08     8.33328842409167E-02     3.19269529648356E-08     2.58083987932341E-08     1.44189910348127E-10     1.97774352961552E+11     4.40000000000000E-03
     1.47466572700405E-10     2.63949528543630E-08     3.26525645013526E-08     8.33328816100322E-02     3.26525645013526E-08     2.63949524779539E-08     1.47466949109489E-10     2.02269218227666E+11     4.50000000000000E-03
     1.50743594339704E-10     2.69815065189620E-08     3.33781759920532E-08     8.33328789791478E-02     3.33781759920532E-08     2.69815061256378E-08     1.50743987663934E-10     2.06764083209686E+11     4.60000000000000E-03
     1.54020615400324E-10     2.75680601468969E-08     3.41037874369377E-08     8.33328763482636E-02     3.41037874369377E-08     2.75680597362857E-08     1.54021026011461E-10     2.11258947907613E+11     4.70000000000000E-03
     1.57297635882266E-10     2.81546137381676E-08     3.48293988360058E-08     8.33328737173796E-02     3.48293988360058E-08     2.81546133098978E-08     1.57298064152070E-10     2.15753812321446E+11     4.80000000000000E-03
     1.60574655785529E-10     2.87411672927741E-08     3.55550101892577E-08     8.33328710864957E-02     3.55550101892577E-08     2.87411668464739E-08     1.60575102085763E-10     2.20248676451186E+11     4.90000000000000E-03
     1.63851675110114E-10     2.93277208107165E-08     3.62806214966934E-08     8.33328684556121E-02     3.62806214966934E-08     2.93277203460140E-08     1.63852139812537E-10     2.24743540296832E+11     5.00000000000000E-03
     1.67128693856020E-10     2.99142742919947E-08     3.70062327583128E-08     8.33328658247285E-02     3.70062327583128E-08     2.99142738085183E-08     1.67129177332395E-10     2.29238403858385E+11     5.10000000000000E-03
     1.70405712023247E-10     3.05008277366087E-08     3.77318439741159E-08     8.33328631938452E-02     3.77318439741159E-08     3.05008272339866E-08     1.70406214645335E-10     2.33733267135844E+11     5.20000000000000E-03
     1.73682729611796E-10     3.10873811445586E-08     3.84574551441027E-08     8.33328605629620E-02     3.84574551441027E-08     3.10873806224190E-08     1.73683251751358E-10     2.38228130129209E+11     5.30000000000000E-03
     1.76959746621667E-10     3.16739345158443E-08     3.91830662682733E-08     8.33328579320790E-02     3.91830662682733E-08     3.16739339738155E-08     1.76960288650463E-10     2.42722992838481E+11     5.40000000000000E-03
     1.80236763052859E-10     3.22604878504658E-08     3.99086773466277E-08     8.33328553011961E-02     3.99086773466277E-08     3.22604872881760E-08     1.80237325342651E-10     2.47217855263660E+11     5.50000000000000E-03
     1.83513778905372E-10     3.28470411484232E-08     4.06342883791658E-08     8.33328526703134E-02     4.06342883791658E-08     3.28470405655006E-08     1.83514361827921E-10     2.51712717404745E+11     5.60000000000000E-03
     1.86790794179207E-10     3.34335944097164E-08     4.13598993658876E-08     8.33328500394309E-02     4.13598993658876E-08     3.34335938057893E-08     1.86791398106274E-10     2.56207579261736E+11     5.70000000000000E-03
     1.90067808874363E-10     3.40201476343454E-08     4.20855103067931E-08     8.33328474085485E-02     4.20855103067931E-08     3.40201470090421E-08     1.90068434177709E-10     2.60702440834634E+11     5.80000000000000E-03
     1.93344822990841E-10     3.46067008223103E-08     4.28111212018824E-08     8.33328447776663E-02     4.28111212018824E-08     3.46067001752589E-08     1.93345470042228E-10     2.65197302123438E+11     5.90000000000000E-03
     1.96621836528640E-10     3.51932539736110E-08     4.35367320511555E-08     8.33328421467843E-02     4.35367320511555E-08     3.51932533044398E-08     1.96622505699828E-10     2.69692163128149E+11     6.00000000000000E-03
     1.99898849487760E-10     3.57798070882475E-08     4.42623428546122E-08     8.33328395159024E-02     4.42623428546122E-08     3.57798063965848E-08     1.99899541150512E-10     2.74187023848767E+11     6.10000000000000E-03
     2.03175861868202E-10     3.63663601662199E-08     4.49879536122527E-08     8.33328368850207E-02     4.49879536122527E-08     3.63663594516938E-08     2.03176576394277E-10     2.78681884285290E+11     6.20000000000000E-03
     2.06452873669966E-10     3.69529132075281E-08     4.57135643240770E-08     8.33328342541392E-02     4.57135643240770E-08     3.69529124697669E-08     2.06453611431126E-10     2.83176744437720E+11     6.30000000000000E-03
     2.09729884893051E-10     3.75394662121721E-08     4.64391749900850E-08     8.33328316232578E-02     4.64391749900850E-08     3.75394654508041E-08     2.09730646261057E-10     2.87671604306057E+11     6.40000000000000E-03
     2.13006895537457E-10     3.81260191801520E-08     4.71647856102767E-08     8.33328289923766E-02     4.71647856102767E-08     3.81260183948054E-08     2.13007680884071E-10     2.92166463890300E+11     6.50000000000000E-03
     2.16283905603185E-10     3.87125721114677E-08     4.78903961846522E-08     8.33328263614956E-02     4.78903961846522E-08     3.87125713017707E-08     2.16284715300167E-10     2.96661323190450E+11     6.60000000000000E-03
     2.19560915090234E-10     3.92991250061192E-08     4.86160067132114E-08     8.33328237306147E-02     4.86160067132114E-08     3.92991241717001E-08     2.19561749509346E-10     3.01156182206506E+11     6.70000000000000E-03
     2.22837923998605E-10     3.98856778641066E-08     4.93416171959544E-08     8.33328210997340E-02     4.93416171959544E-08     3.98856770045936E-08     2.22838783511607E-10     3.05651040938469E+11     6.80000000000000E-03
     2.26114932328298E-10     4.04722306854298E-08     5.00672276328811E-08     8.33328184688535E-02     5.00672276328811E-08     4.04722298004512E-08     2.26115817306951E-10     3.10145899386338E+11     6.90000000000000E-03
     2.29391940079311E-10     4.10587834700889E-08     5.07928380239915E-08     8.33328158379731E-02     5.07928380239915E-08     4.10587825592728E-08     2.29392850895378E-10     3.14640757550113E+11     7.00000000000000E-03
     2.32668947251646E-10     4.16453362180837E-08     5.15184483692856E-08     8.33328132070929E-02     5.15184483692856E-08     4.16453352810585E-08     2.32669884276887E-10     3.19135615429795E+11     7.10000000000000E-03
     2.35945953845303E-10     4.22318889294144E-08     5.22440586687636E-08     8.33328105762129E-02     5.22440586687636E-08     4.22318879658082E-08     2.35946917451479E-10     3.23630473025384E+11     7.20000000000000E-03
     2.39222959860433E-10     4.28184416040870E-08     5.29696689224328E-08     8.33328079453330E-02     5.29696689224328E-08     4.28184406135282E-08     2.39223950419187E-10     3.28125330336926E+11     7.30000000000000E-03
     2.42499965297202E-10     4.34049942421079E-08     5.36952791303015E-08     8.33328053144533E-02     5.36952791303015E-08     4.34049932242250E-08     2.42500983180050E-10     3.32620187364472E+11     7.40000000000000E-03
     2.45776970155299E-10     4.39915468434648E-08     5.44208892923544E-08     8.33328026835738E-02     5.44208892923544E-08     4.39915457978861E-08     2.45778015733996E-10     3.37115044107927E+11     7.50000000000000E-03
     2.49053974434723E-10     4.45780994081579E-08     5.51464994085912E-08     8.33328000526944E-02     5.51464994085912E-08     4.45780983345116E-08     2.49055048081027E-10     3.41609900567290E+11     7.60000000000000E-03
     2.52330978135475E-10     4.51646519361870E-08     5.58721094790121E-08     8.33327974218152E-02     5.58721094790121E-08     4.51646508341014E-08     2.52332080221141E-10     3.46104756742562E+11     7.70000000000000E-03
     2.55607981257554E-10     4.57512044275522E-08     5.65977195036171E-08     8.33327947909362E-02     5.65977195036171E-08     4.57512032966555E-08     2.55609112154340E-10     3.50599612633742E+11     7.80000000000000E-03
     2.58884983800961E-10     4.63377568822535E-08     5.73233294824060E-08     8.33327921600573E-02     5.73233294824060E-08     4.63377557221739E-08     2.58886143880622E-10     3.55094468240830E+11     7.90000000000000E-03
     2.62161985765696E-10     4.69243093002909E-08     5.80489394153791E-08     8.33327895291786E-02     5.80489394153791E-08     4.69243081106566E-08     2.62163175399988E-10     3.59589323563827E+11     8.00000000000000E-03
