!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
8.00              9.30             -8.76070e-08  3.06657e-08  3.82440e-06   4.02540e-01      1.61551e-05      3.57504e-06
8.00              9.35             -8.61490e-08  3.06657e-08  3.80741e-06   4.04290e-01      1.62484e-05      3.56451e-06
8.00              9.40             -8.46270e-08  3.06657e-08  3.78626e-06   4.05980e-01      1.63422e-05      3.55648e-06
8.00              9.45             -8.30408e-08  3.06657e-08  3.75951e-06   4.07650e-01      1.64365e-05      3.55100e-06
8.00              9.50             -8.13906e-08  3.06657e-08  3.72586e-06   4.09380e-01      1.65352e-05      3.54830e-06
8.00              9.55             -7.96762e-08  3.06657e-08  3.68340e-06   4.11270e-01      1.66499e-05      3.54879e-06
8.00              9.60             -7.79138e-08  3.06657e-08  3.63005e-06   4.13460e-01      1.67846e-05      3.55263e-06
8.00              9.65             -7.60713e-08  3.06657e-08  3.56308e-06   4.16060e-01      1.69477e-05      3.56033e-06
8.02              7.00             -1.12056e-07  3.11303e-08  3.95625e-06   3.35950e-01      1.31914e-05      4.04064e-06
8.02              7.20             -1.11752e-07  3.11303e-08  3.95481e-06   3.35900e-01      1.31896e-05      4.04008e-06
8.02              7.40             -1.11335e-07  3.11303e-08  3.95241e-06   3.35910e-01      1.31905e-05      4.04027e-06
8.02              7.60             -1.10774e-07  3.11303e-08  3.94985e-06   3.36090e-01      1.31999e-05      4.04250e-06
8.02              7.80             -1.10005e-07  3.11303e-08  3.94808e-06   3.36220e-01      1.32072e-05      4.04418e-06
8.02              8.00             -1.08980e-07  3.11303e-08  3.94712e-06   3.36270e-01      1.32102e-05      4.04316e-06
8.02              8.05             -1.08676e-07  3.11303e-08  3.94696e-06   3.36350e-01      1.32139e-05      4.04185e-06
8.02              8.10             -1.08355e-07  3.11303e-08  3.94680e-06   3.36540e-01      1.32215e-05      4.03990e-06
8.02              8.15             -1.08003e-07  3.11303e-08  3.94680e-06   3.36880e-01      1.32355e-05      4.03664e-06
8.02              8.20             -1.07618e-07  3.11303e-08  3.94664e-06   3.37450e-01      1.32590e-05      4.03163e-06
8.02              8.25             -1.07218e-07  3.11303e-08  3.94664e-06   3.38340e-01      1.32951e-05      4.02439e-06
8.02              8.30             -1.06785e-07  3.11303e-08  3.94648e-06   3.39620e-01      1.33472e-05      4.01449e-06
8.02              8.35             -1.06320e-07  3.11303e-08  3.94632e-06   3.41340e-01      1.34175e-05      4.00139e-06
8.02              8.40             -1.05824e-07  3.11303e-08  3.94600e-06   3.43530e-01      1.35070e-05      3.98493e-06
8.02              8.45             -1.05295e-07  3.11303e-08  3.94584e-06   3.46190e-01      1.36167e-05      3.96497e-06
8.02              8.50             -1.04718e-07  3.11303e-08  3.94536e-06   3.49290e-01      1.37449e-05      3.94176e-06
8.02              8.55             -1.04125e-07  3.11303e-08  3.94504e-06   3.52760e-01      1.38896e-05      3.91580e-06
8.02              8.60             -1.03485e-07  3.11303e-08  3.94456e-06   3.56490e-01      1.40469e-05      3.88759e-06
8.02              8.65             -1.02796e-07  3.11303e-08  3.94392e-06   3.60410e-01      1.42135e-05      3.85781e-06
8.02              8.70             -1.02059e-07  3.11303e-08  3.94296e-06   3.64420e-01      1.43850e-05      3.82719e-06
8.02              8.75             -1.01290e-07  3.11303e-08  3.94200e-06   3.68400e-01      1.45573e-05      3.79630e-06
8.02              8.80             -1.00456e-07  3.11303e-08  3.94055e-06   3.72310e-01      1.47286e-05      3.76583e-06
8.02              8.85             -9.95913e-08  3.11303e-08  3.93895e-06   3.76060e-01      1.48943e-05      3.73620e-06
8.02              8.90             -9.86620e-08  3.11303e-08  3.93687e-06   3.79620e-01      1.50533e-05      3.70783e-06
8.02              8.95             -9.76847e-08  3.11303e-08  3.93414e-06   3.82970e-01      1.52048e-05      3.68104e-06
8.02              9.00             -9.66433e-08  3.11303e-08  3.93094e-06   3.86090e-01      1.53469e-05      3.65587e-06
8.02              9.05             -9.55538e-08  3.11303e-08  3.92677e-06   3.88960e-01      1.54796e-05      3.63271e-06
8.02              9.10             -9.44002e-08  3.11303e-08  3.92149e-06   3.91610e-01      1.56034e-05      3.61152e-06
8.02              9.15             -9.31826e-08  3.11303e-08  3.91492e-06   3.94030e-01      1.57188e-05      3.59236e-06
8.02              9.20             -9.19009e-08  3.11303e-08  3.90659e-06   3.96260e-01      1.58263e-05      3.57537e-06
8.02              9.25             -9.05550e-08  3.11303e-08  3.89601e-06   3.98300e-01      1.59272e-05      3.56050e-06
8.02              9.30             -8.91611e-08  3.11303e-08  3.88288e-06   4.00190e-01      1.60218e-05      3.54781e-06
8.02              9.35             -8.76871e-08  3.11303e-08  3.86621e-06   4.01960e-01      1.61143e-05      3.53745e-06
8.02              9.40             -8.61490e-08  3.11303e-08  3.84538e-06   4.03650e-01      1.62073e-05      3.52956e-06
8.02              9.45             -8.45469e-08  3.11303e-08  3.81911e-06   4.05330e-01      1.63009e-05      3.52420e-06
8.02              9.50             -8.28806e-08  3.11303e-08  3.78594e-06   4.07080e-01      1.64025e-05      3.52168e-06
8.02              9.55             -8.11502e-08  3.11303e-08  3.74413e-06   4.09000e-01      1.65200e-05      3.52241e-06
8.02              9.60             -7.93558e-08  3.11303e-08  3.69158e-06   4.11210e-01      1.66537e-05      3.52655e-06
8.02              9.65             -7.74973e-08  3.11303e-08  3.62573e-06   4.13850e-01      1.68194e-05      3.53452e-06
8.04              7.00             -1.13803e-07  3.15949e-08  4.00640e-06   3.33700e-01      1.30855e-05      4.01458e-06
8.04              7.20             -1.13498e-07  3.15949e-08  4.00640e-06   3.33800e-01      1.30906e-05      4.01578e-06
8.04              7.40             -1.13082e-07  3.15949e-08  4.00608e-06   3.33850e-01      1.30933e-05      4.01634e-06
8.04              7.60             -1.12505e-07  3.15949e-08  4.00592e-06   3.33810e-01      1.30927e-05      4.01606e-06
8.04              7.80             -1.11736e-07  3.15949e-08  4.00560e-06   3.33710e-01      1.30891e-05      4.01504e-06
8.04              8.00             -1.10710e-07  3.15949e-08  4.00544e-06   3.33640e-01      1.30873e-05      4.01273e-06
8.04              8.05             -1.10390e-07  3.15949e-08  4.00544e-06   3.33710e-01      1.30900e-05      4.01135e-06
8.04              8.10             -1.10070e-07  3.15949e-08  4.00528e-06   3.33880e-01      1.30973e-05      4.00922e-06
8.04              8.15             -1.09717e-07  3.15949e-08  4.00528e-06   3.34220e-01      1.31111e-05      4.00590e-06
8.04              8.20             -1.09333e-07  3.15949e-08  4.00512e-06   3.34800e-01      1.31344e-05      4.00092e-06
8.04              8.25             -1.08932e-07  3.15949e-08  4.00512e-06   3.35680e-01      1.31701e-05      3.99375e-06
8.04              8.30             -1.08483e-07  3.15949e-08  4.00496e-06   3.36970e-01      1.32218e-05      3.98392e-06
8.04              8.35             -1.08019e-07  3.15949e-08  4.00480e-06   3.38690e-01      1.32917e-05      3.97082e-06
8.04              8.40             -1.07522e-07  3.15949e-08  4.00464e-06   3.40890e-01      1.33807e-05      3.95440e-06
8.04              8.45             -1.06993e-07  3.15949e-08  4.00432e-06   3.43560e-01      1.34900e-05      3.93460e-06
8.04              8.50             -1.06417e-07  3.15949e-08  4.00384e-06   3.46670e-01      1.36176e-05      3.91156e-06
8.04              8.55             -1.05808e-07  3.15949e-08  4.00352e-06   3.50150e-01      1.37613e-05      3.88571e-06
8.04              8.60             -1.05167e-07  3.15949e-08  4.00304e-06   3.53900e-01      1.39181e-05      3.85763e-06
8.04              8.65             -1.04478e-07  3.15949e-08  4.00240e-06   3.57830e-01      1.40838e-05      3.82799e-06
8.04              8.70             -1.03741e-07  3.15949e-08  4.00160e-06   3.61840e-01      1.42544e-05      3.79744e-06
8.04              8.75             -1.02956e-07  3.15949e-08  4.00047e-06   3.65840e-01      1.44261e-05      3.76678e-06
8.04              8.80             -1.02123e-07  3.15949e-08  3.99919e-06   3.69760e-01      1.45959e-05      3.73637e-06
8.04              8.85             -1.01258e-07  3.15949e-08  3.99759e-06   3.73520e-01      1.47608e-05      3.70698e-06
8.04              8.90             -1.00312e-07  3.15949e-08  3.99551e-06   3.77100e-01      1.49197e-05      3.67875e-06
8.04              8.95             -9.93350e-08  3.15949e-08  3.99294e-06   3.80460e-01      1.50699e-05      3.65200e-06
8.04              9.00             -9.82775e-08  3.15949e-08  3.98974e-06   3.83580e-01      1.52114e-05      3.62711e-06
8.04              9.05             -9.71880e-08  3.15949e-08  3.98557e-06   3.86470e-01      1.53437e-05      3.60405e-06
8.04              9.10             -9.60184e-08  3.15949e-08  3.98045e-06   3.89120e-01      1.54672e-05      3.58295e-06
8.04              9.15             -9.47848e-08  3.15949e-08  3.97388e-06   3.91560e-01      1.55819e-05      3.56394e-06
8.04              9.20             -9.35030e-08  3.15949e-08  3.96571e-06   3.93790e-01      1.56892e-05      3.54699e-06
8.04              9.25             -9.21412e-08  3.15949e-08  3.95529e-06   3.95840e-01      1.57899e-05      3.53224e-06
8.04              9.30             -9.07313e-08  3.15949e-08  3.94232e-06   3.97740e-01      1.58855e-05      3.51974e-06
8.04              9.35             -8.92412e-08  3.15949e-08  3.92597e-06   3.99520e-01      1.59783e-05      3.50954e-06
8.04              9.40             -8.76871e-08  3.15949e-08  3.90531e-06   4.01230e-01      1.60698e-05      3.50179e-06
8.04              9.45             -8.60689e-08  3.15949e-08  3.87951e-06   4.02930e-01      1.61663e-05      3.49656e-06
8.04              9.50             -8.43866e-08  3.15949e-08  3.84683e-06   4.04700e-01      1.62671e-05      3.49430e-06
8.04              9.55             -8.26403e-08  3.15949e-08  3.80565e-06   4.06640e-01      1.63836e-05      3.49527e-06
8.04              9.60             -8.08298e-08  3.15949e-08  3.75406e-06   4.08870e-01      1.65200e-05      3.49962e-06
8.04              9.65             -7.89553e-08  3.15949e-08  3.68901e-06   4.11550e-01      1.66882e-05      3.50801e-06
8.06              7.00             -1.15581e-07  3.20756e-08  4.05655e-06   3.32190e-01      1.30143e-05      3.99706e-06
8.06              7.20             -1.15261e-07  3.20756e-08  4.05783e-06   3.32130e-01      1.30119e-05      3.99641e-06
8.06              7.40             -1.14844e-07  3.20756e-08  4.05976e-06   3.31940e-01      1.30041e-05      3.99439e-06
8.06              7.60             -1.14267e-07  3.20756e-08  4.06216e-06   3.31510e-01      1.29856e-05      3.98970e-06
8.06              7.80             -1.13498e-07  3.20756e-08  4.06392e-06   3.31100e-01      1.29682e-05      3.98520e-06
8.06              8.00             -1.12457e-07  3.20756e-08  4.06456e-06   3.30900e-01      1.29605e-05      3.98144e-06
8.06              8.05             -1.12152e-07  3.20756e-08  4.06472e-06   3.30960e-01      1.29628e-05      3.97988e-06
8.06              8.10             -1.11816e-07  3.20756e-08  4.06472e-06   3.31120e-01      1.29694e-05      3.97769e-06
8.06              8.15             -1.11463e-07  3.20756e-08  4.06456e-06   3.31460e-01      1.29829e-05      3.97439e-06
8.06              8.20             -1.11079e-07  3.20756e-08  4.06456e-06   3.32030e-01      1.30059e-05      3.96936e-06
8.06              8.25             -1.10662e-07  3.20756e-08  4.06440e-06   3.32920e-01      1.30416e-05      3.96224e-06
8.06              8.30             -1.10230e-07  3.20756e-08  4.06440e-06   3.34200e-01      1.30927e-05      3.95240e-06
8.06              8.35             -1.09765e-07  3.20756e-08  4.06424e-06   3.35940e-01      1.31623e-05      3.93931e-06
8.06              8.40             -1.09252e-07  3.20756e-08  4.06392e-06   3.38150e-01      1.32514e-05      3.92302e-06
