!28P (3+, 2+, 3+, 0+, 1+, 1+, 2+) -> 28Si,  e-capture,  with screening effects
!USDB    GT+F                Q=14.3437 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
8.04              8.65              3.99439e-06  1.24457e-07  3.94937e-08   5.49120e-01      4.26393e-05      4.65383e-05
8.04              8.70              3.99359e-06  1.23752e-07  3.94937e-08   5.47780e-01      4.24532e-05      4.64633e-05
8.04              8.75              3.99262e-06  1.23015e-07  3.94937e-08   5.46250e-01      4.22387e-05      4.63778e-05
8.04              8.80              3.99134e-06  1.22230e-07  3.94937e-08   5.44610e-01      4.20059e-05      4.63031e-05
8.04              8.85              3.98974e-06  1.21397e-07  3.94937e-08   5.42850e-01      4.17648e-05      4.62073e-05
8.04              8.90              3.98766e-06  1.20500e-07  3.94937e-08   5.41020e-01      4.15155e-05      4.61116e-05
8.04              8.95              3.98509e-06  1.19554e-07  3.94937e-08   5.39280e-01      4.12772e-05      4.60374e-05
8.04              9.00              3.98173e-06  1.18545e-07  3.94937e-08   5.37600e-01      4.10497e-05      4.59632e-05
8.04              9.05              3.97772e-06  1.17488e-07  3.94937e-08   5.36080e-01      4.08423e-05      4.59103e-05
8.04              9.10              3.97260e-06  1.16350e-07  3.94937e-08   5.34780e-01      4.06734e-05      4.58786e-05
8.04              9.15              3.96603e-06  1.15148e-07  3.94937e-08   5.33730e-01      4.05332e-05      4.58575e-05
8.04              9.20              3.95786e-06  1.13883e-07  3.94937e-08   5.33020e-01      4.04399e-05      4.58892e-05
8.04              9.25              3.94744e-06  1.12553e-07  3.94937e-08   5.32710e-01      4.04027e-05      4.59421e-05
8.04              9.30              3.93447e-06  1.11159e-07  3.94937e-08   5.32870e-01      4.04306e-05      4.60480e-05
8.04              9.35              3.91812e-06  1.09669e-07  3.94937e-08   5.33580e-01      4.05425e-05      4.62179e-05
8.04              9.40              3.89745e-06  1.08115e-07  3.94937e-08   5.34950e-01      4.07390e-05      4.64633e-05
8.04              9.45              3.87150e-06  1.06497e-07  3.94937e-08   5.37140e-01      4.10592e-05      4.67962e-05
8.04              9.50              3.83898e-06  1.04782e-07  3.94937e-08   5.40230e-01      4.15155e-05      4.72292e-05
8.04              9.55              3.79780e-06  1.03004e-07  3.94937e-08   5.44420e-01      4.21512e-05      4.78091e-05
8.04              9.60              3.74621e-06  1.01145e-07  3.94937e-08   5.49920e-01      4.29844e-05      4.85524e-05
8.04              9.65              3.68116e-06  9.92068e-08  3.94937e-08   5.56920e-01      4.40870e-05      4.94892e-05
8.06              7.00              4.04854e-06  1.35112e-07  4.01025e-08   5.72160e-01      4.52283e-05      4.88664e-05
8.06              7.20              4.04982e-06  1.34839e-07  4.01025e-08   5.72150e-01      4.52283e-05      4.88552e-05
8.06              7.40              4.05174e-06  1.34455e-07  4.01025e-08   5.72180e-01      4.52387e-05      4.88664e-05
8.06              7.60              4.05415e-06  1.33942e-07  4.01025e-08   5.72830e-01      4.53117e-05      4.89340e-05
8.06              7.80              4.05591e-06  1.33237e-07  4.01025e-08   5.74300e-01      4.54789e-05      4.91033e-05
8.06              8.00              4.05655e-06  1.32292e-07  4.01025e-08   5.75430e-01      4.56048e-05      4.92391e-05
8.06              8.05              4.05671e-06  1.32003e-07  4.01025e-08   5.75610e-01      4.56258e-05      4.92618e-05
8.06              8.10              4.05671e-06  1.31699e-07  4.01025e-08   5.75730e-01      4.56363e-05      4.92732e-05
8.06              8.15              4.05655e-06  1.31378e-07  4.01025e-08   5.75810e-01      4.56468e-05      4.92845e-05
8.06              8.20              4.05655e-06  1.31026e-07  4.01025e-08   5.75890e-01      4.56573e-05      4.92959e-05
8.06              8.25              4.05639e-06  1.30641e-07  4.01025e-08   5.75880e-01      4.56573e-05      4.92959e-05
8.06              8.30              4.05639e-06  1.30241e-07  4.01025e-08   5.75880e-01      4.56573e-05      4.92959e-05
8.06              8.35              4.05623e-06  1.29808e-07  4.01025e-08   5.75790e-01      4.56468e-05      4.92959e-05
8.06              8.40              4.05591e-06  1.29344e-07  4.01025e-08   5.75590e-01      4.56153e-05      4.92845e-05
8.06              8.45              4.05575e-06  1.28847e-07  4.01025e-08   5.75280e-01      4.55733e-05      4.92732e-05
8.06              8.50              4.05527e-06  1.28302e-07  4.01025e-08   5.74800e-01      4.54999e-05      4.92391e-05
8.06              8.55              4.05495e-06  1.27742e-07  4.01025e-08   5.74130e-01      4.53952e-05      4.92051e-05
8.06              8.60              4.05447e-06  1.27117e-07  4.01025e-08   5.73240e-01      4.52700e-05      4.91598e-05
8.06              8.65              4.05383e-06  1.26476e-07  4.01025e-08   5.72120e-01      4.51035e-05      4.90920e-05
8.06              8.70              4.05303e-06  1.25771e-07  4.01025e-08   5.70820e-01      4.49066e-05      4.90242e-05
8.06              8.75              4.05206e-06  1.25018e-07  4.01025e-08   5.69280e-01      4.46797e-05      4.89340e-05
8.06              8.80              4.05062e-06  1.24233e-07  4.01025e-08   5.67600e-01      4.44335e-05      4.88327e-05
8.06              8.85              4.04918e-06  1.23384e-07  4.01025e-08   5.65860e-01      4.41784e-05      4.87428e-05
8.06              8.90              4.04710e-06  1.22486e-07  4.01025e-08   5.64060e-01      4.39147e-05      4.86531e-05
8.06              8.95              4.04453e-06  1.21541e-07  4.01025e-08   5.62300e-01      4.36627e-05      4.85635e-05
8.06              9.00              4.04133e-06  1.20516e-07  4.01025e-08   5.60630e-01      4.34221e-05      4.84965e-05
8.06              9.05              4.03732e-06  1.19442e-07  4.01025e-08   5.59090e-01      4.32027e-05      4.84295e-05
8.06              9.10              4.03220e-06  1.18305e-07  4.01025e-08   5.57780e-01      4.30240e-05      4.83961e-05
8.06              9.15              4.02579e-06  1.17103e-07  4.01025e-08   5.56750e-01      4.28756e-05      4.83850e-05
8.06              9.20              4.01762e-06  1.15821e-07  4.01025e-08   5.56010e-01      4.27770e-05      4.83961e-05
8.06              9.25              4.00752e-06  1.14476e-07  4.01025e-08   5.55690e-01      4.27376e-05      4.84630e-05
8.06              9.30              3.99471e-06  1.13066e-07  4.01025e-08   5.55840e-01      4.27672e-05      4.85747e-05
8.06              9.35              3.97869e-06  1.11576e-07  4.01025e-08   5.56520e-01      4.28756e-05      4.87428e-05
8.06              9.40              3.95834e-06  1.10005e-07  4.01025e-08   5.57860e-01      4.30834e-05      4.89903e-05
8.06              9.45              3.93286e-06  1.08371e-07  4.01025e-08   5.59980e-01      4.34121e-05      4.93413e-05
8.06              9.50              3.90066e-06  1.06641e-07  4.01025e-08   5.63010e-01      4.38844e-05      4.97864e-05
8.06              9.55              3.86012e-06  1.04846e-07  4.01025e-08   5.67130e-01      4.45359e-05      5.03861e-05
8.06              9.60              3.80917e-06  1.02956e-07  4.01025e-08   5.72530e-01      4.54162e-05      5.11576e-05
8.06              9.65              3.74525e-06  1.01001e-07  4.01025e-08   5.79430e-01      4.65597e-05      5.21327e-05
8.08              7.00              4.11759e-06  1.37210e-07  4.07113e-08   5.96730e-01      4.80298e-05      5.17381e-05
8.08              7.20              4.11759e-06  1.36938e-07  4.07113e-08   5.96760e-01      4.80298e-05      5.17381e-05
