!18Ne (0+, 2+) -> 18F    e-capture   with screening effects
!USDB ,   GT+Fermi,   Q (18Ne-18F) = 4.4445 MeV 
!Experimental data are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 

1.047129e+08 1.000000e+07 3.961550e-06 9.848600e-08 2.593929e-08 4.106956e+00 3.637570e-05 1.976775e-06
1.047129e+08 1.584893e+07 3.959948e-06 9.814955e-08 2.593929e-08 4.107334e+00 3.638407e-05 1.977044e-06
1.047129e+08 2.511886e+07 3.957545e-06 9.768491e-08 2.593929e-08 4.107050e+00 3.638407e-05 1.976907e-06
1.047129e+08 3.981072e+07 3.954981e-06 9.707609e-08 2.593929e-08 4.098265e+00 3.630039e-05 1.972538e-06
1.047129e+08 6.309573e+07 3.953219e-06 9.625897e-08 2.593929e-08 4.082912e+00 3.615025e-05 1.964818e-06
1.047129e+08 1.000000e+08 3.952258e-06 9.515347e-08 2.593929e-08 4.073146e+00 3.606711e-05 1.960001e-06
1.047129e+08 1.122018e+08 3.952258e-06 9.481701e-08 2.593929e-08 4.072302e+00 3.605880e-05 1.959636e-06
1.047129e+08 1.258925e+08 3.952097e-06 9.446453e-08 2.593929e-08 4.071552e+00 3.605050e-05 1.959293e-06
1.047129e+08 1.412538e+08 3.951937e-06 9.409603e-08 2.593929e-08 4.071458e+00 3.605050e-05 1.959293e-06
1.047129e+08 1.584893e+08 3.951937e-06 9.369549e-08 2.593929e-08 4.071646e+00 3.605880e-05 1.959451e-06
1.047129e+08 1.778279e+08 3.951777e-06 9.326290e-08 2.593929e-08 4.072115e+00 3.605880e-05 1.959762e-06
1.047129e+08 1.995262e+08 3.951617e-06 9.279827e-08 2.593929e-08 4.072490e+00 3.606711e-05 1.960051e-06
1.047129e+08 2.238721e+08 3.951457e-06 9.231761e-08 2.593929e-08 4.073146e+00 3.607541e-05 1.960493e-06
1.047129e+08 2.511886e+08 3.951136e-06 9.178889e-08 2.593929e-08 4.073803e+00 3.609203e-05 1.960931e-06
1.047129e+08 2.818383e+08 3.950976e-06 9.122813e-08 2.593929e-08 4.074835e+00 3.610034e-05 1.961563e-06
1.047129e+08 3.162278e+08 3.950655e-06 9.063532e-08 2.593929e-08 4.075961e+00 3.611697e-05 1.962263e-06
1.047129e+08 3.548134e+08 3.950175e-06 9.001047e-08 2.593929e-08 4.077275e+00 3.613361e-05 1.963081e-06
1.047129e+08 3.981072e+08 3.949694e-06 8.933756e-08 2.593929e-08 4.078871e+00 3.615857e-05 1.964090e-06
1.047129e+08 4.466836e+08 3.949053e-06 8.861658e-08 2.593929e-08 4.080562e+00 3.617523e-05 1.965202e-06
1.047129e+08 5.011872e+08 3.948252e-06 8.786355e-08 2.593929e-08 4.082348e+00 3.620856e-05 1.966375e-06
1.047129e+08 5.623413e+08 3.947131e-06 8.706246e-08 2.593929e-08 4.085075e+00 3.624193e-05 1.968064e-06
1.047129e+08 6.309573e+08 3.945849e-06 8.619728e-08 2.593929e-08 4.087709e+00 3.628368e-05 1.969783e-06
1.047129e+08 7.079458e+08 3.944247e-06 8.530006e-08 2.593929e-08 4.091288e+00 3.632548e-05 1.972079e-06
1.047129e+08 7.943282e+08 3.942164e-06 8.435478e-08 2.593929e-08 4.095718e+00 3.639245e-05 1.974887e-06
1.047129e+08 8.912509e+08 3.939440e-06 8.334540e-08 2.593929e-08 4.100530e+00 3.645955e-05 1.978059e-06
1.047129e+08 1.000000e+09 3.936076e-06 8.228796e-08 2.593929e-08 4.106956e+00 3.655201e-05 1.982181e-06
1.047129e+08 1.122018e+09 3.931910e-06 8.118246e-08 2.593929e-08 4.114623e+00 3.666159e-05 1.987135e-06
1.047129e+08 1.258925e+09 3.926783e-06 8.001287e-08 2.593929e-08 4.124108e+00 3.679691e-05 1.993266e-06
1.047129e+08 1.412538e+09 3.920054e-06 7.877919e-08 2.593929e-08 4.135709e+00 3.695824e-05 2.000771e-06
1.047129e+08 1.584893e+09 3.911722e-06 7.749745e-08 2.593929e-08 4.150018e+00 3.716305e-05 2.010089e-06
1.047129e+08 1.778279e+09 3.901308e-06 7.616764e-08 2.593929e-08 4.167926e+00 3.742065e-05 2.021814e-06
1.047129e+08 1.995262e+09 3.888010e-06 7.475772e-08 2.593929e-08 4.190058e+00 3.774082e-05 2.036861e-06
1.047129e+08 2.238721e+09 3.871508e-06 7.331576e-08 2.593929e-08 4.217353e+00 3.814269e-05 2.056654e-06
1.047129e+08 2.511886e+09 3.850519e-06 7.180971e-08 2.593929e-08 4.251087e+00 3.863770e-05 2.084209e-06
1.047129e+08 2.818383e+09 3.824243e-06 7.023957e-08 2.593929e-08 4.292892e+00 3.925648e-05 2.125109e-06
1.047129e+08 3.162278e+09 3.791078e-06 6.862137e-08 2.593929e-08 4.343902e+00 4.002315e-05 2.188474e-06
1.047129e+08 3.548134e+09 3.749261e-06 6.695510e-08 2.593929e-08 4.405752e+00 4.097428e-05 2.288871e-06
1.047129e+08 3.981072e+09 3.696870e-06 6.522475e-08 2.593929e-08 4.480743e+00 4.216104e-05 2.447718e-06

1.047129e+08 4.466836e+09 3.630860e-06 6.815674e-08 2.593929e-08 4.566253e+00 4.356235e-05 2.688755e-06
1.096478e+08 1.000000e+07 4.011699e-06 1.000081e-07 2.633984e-08 4.361441e+00 3.884287e-05 2.106257e-06
1.096478e+08 1.584893e+07 4.011699e-06 9.967162e-08 2.633984e-08 4.354016e+00 3.877138e-05 2.102477e-06
1.096478e+08 2.511886e+07 4.011378e-06 9.922301e-08 2.633984e-08 4.337705e+00 3.861102e-05 2.094263e-06
1.096478e+08 3.981072e+07 4.011218e-06 9.859816e-08 2.633984e-08 4.320062e+00 3.844247e-05 2.085313e-06
1.096478e+08 6.309573e+07 4.010897e-06 9.776502e-08 2.633984e-08 4.308241e+00 3.832757e-05 2.079368e-06
1.096478e+08 1.000000e+08 4.010737e-06 9.665952e-08 2.633984e-08 4.303482e+00 3.829229e-05 2.077071e-06
1.096478e+08 1.122018e+08 4.010737e-06 9.633908e-08 2.633984e-08 4.303383e+00 3.829229e-05 2.077119e-06
1.096478e+08 1.258925e+08 4.010577e-06 9.598660e-08 2.633984e-08 4.303185e+00 3.829229e-05 2.077071e-06
1.096478e+08 1.412538e+08 4.010577e-06 9.560208e-08 2.633984e-08 4.303284e+00 3.829229e-05 2.077166e-06
1.096478e+08 1.584893e+08 4.010417e-06 9.520154e-08 2.633984e-08 4.303680e+00 3.830111e-05 2.077406e-06
1.096478e+08 1.778279e+08 4.010257e-06 9.476895e-08 2.633984e-08 4.304176e+00 3.830111e-05 2.077788e-06
1.096478e+08 1.995262e+08 4.010096e-06 9.430431e-08 2.633984e-08 4.304671e+00 3.830993e-05 2.078123e-06
1.096478e+08 2.238721e+08 4.009936e-06 9.380764e-08 2.633984e-08 4.305464e+00 3.831875e-05 2.078554e-06
1.096478e+08 2.511886e+08 4.009776e-06 9.327892e-08 2.633984e-08 4.306456e+00 3.833640e-05 2.079224e-06
1.096478e+08 2.818383e+08 4.009455e-06 9.271816e-08 2.633984e-08 4.307150e+00 3.834523e-05 2.079703e-06
1.096478e+08 3.162278e+08 4.009135e-06 9.212535e-08 2.633984e-08 4.308340e+00 3.836289e-05 2.080421e-06
1.096478e+08 3.548134e+08 4.008815e-06 9.148448e-08 2.633984e-08 4.309630e+00 3.838056e-05 2.081284e-06
1.096478e+08 3.981072e+08 4.008334e-06 9.081156e-08 2.633984e-08 4.311317e+00 3.839824e-05 2.082290e-06
1.096478e+08 4.466836e+08 4.007693e-06 9.009058e-08 2.633984e-08 4.313105e+00 3.842477e-05 2.083441e-06
1.096478e+08 5.011872e+08 4.006892e-06 8.932154e-08 2.633984e-08 4.315191e+00 3.846018e-05 2.084833e-06
1.096478e+08 5.623413e+08 4.005770e-06 8.852045e-08 2.633984e-08 4.317576e+00 3.848676e-05 2.086370e-06
1.096478e+08 6.309573e+08 4.004489e-06 8.765527e-08 2.633984e-08 4.320958e+00 3.853996e-05 2.088485e-06
1.096478e+08 7.079458e+08 4.002887e-06 8.674203e-08 2.633984e-08 4.324541e+00 3.858436e-05 2.090842e-06
1.096478e+08 7.943282e+08 4.000804e-06 8.578072e-08 2.633984e-08 4.328725e+00 3.864660e-05 2.093540e-06
1.096478e+08 8.912509e+08 3.998240e-06 8.477134e-08 2.633984e-08 4.334310e+00 3.872677e-05 2.097062e-06
1.096478e+08 1.000000e+09 3.994876e-06 8.371390e-08 2.633984e-08 4.340802e+00 3.881605e-05 2.101267e-06
1.096478e+08 1.122018e+09 3.990870e-06 8.259238e-08 2.633984e-08 4.348806e+00 3.893241e-05 2.106499e-06
1.096478e+08 1.258925e+09 3.985743e-06 8.140677e-08 2.633984e-08 4.358730e+00 3.907611e-05 2.112863e-06
1.096478e+08 1.412538e+09 3.979174e-06 8.017309e-08 2.633984e-08 4.370690e+00 3.924744e-05 2.120661e-06
1.096478e+08 1.584893e+09 3.971003e-06 7.887532e-08 2.633984e-08 4.385711e+00 3.946493e-05 2.130401e-06
1.096478e+08 1.778279e+09 3.960589e-06 7.752949e-08 2.633984e-08 4.404230e+00 3.972934e-05 2.142650e-06
1.096478e+08 1.995262e+09 3.947611e-06 7.611957e-08 2.633984e-08 4.427107e+00 4.006926e-05 2.158198e-06
1.096478e+08 2.238721e+09 3.931269e-06 7.464557e-08 2.633984e-08 4.455536e+00 4.047728e-05 2.178820e-06
