               Y_p             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     6.97284941358553E-01     7.00010674472380E-02     8.89621470959432E-07     1.44296194046516E-06     7.01881885445102E-04     2.14698513467160E-04     1.97259793328872E-10     7.65194074854014E-04     1.58927455625038E-05     9.09545859235372E+15     4.40000000000000E+01
     6.97250493215985E-01     7.00012588994736E-02     7.77362230608754E-07     1.37845079133634E-06     6.70424281860561E-04     2.29401549797915E-04     2.21297711281068E-10     7.80189712085626E-04     1.78284219362407E-05     9.35070644143857E+15     4.60000000000000E+01
     6.97217340296159E-01     7.00014730189586E-02     7.18587094579520E-07     1.31675006862423E-06     6.40361193358861E-04     2.44167680405313E-04     2.46807470890950E-10     7.93553043449410E-04     1.98824988157396E-05     9.60187543151215E+15     4.80000000000000E+01
     6.97185400417669E-01     7.00017111463326E-02     6.97995993628277E-07     1.25777829550548E-06     6.11645599769889E-04     2.58968562087049E-04     2.73778213976319E-10     8.05375696800470E-04     2.20540932752442E-05     9.84913586857429E+15     5.00000000000000E+01
     6.97154598623421E-01     7.00019746107636E-02     7.04979725848463E-07     1.20144448386148E-06     5.84228036802299E-04     2.73777771655158E-04     3.02195966053540E-10     8.15745393070529E-04     2.43420720663387E-05     1.00926467188459E+16     5.20000000000000E+01
     6.97124865801846E-01     7.00022647272212E-02     7.32174817635828E-07     1.14765261613606E-06     5.58058112773433E-04     2.88570702987386E-04     3.32043892872917E-10     8.24745952511537E-04     2.67450722499797E-05     1.03325575921604E+16     5.40000000000000E+01
     6.97096137695423E-01     7.00025827939783E-02     7.74464663790368E-07     1.09630467161703E-06     5.33085521274951E-04     3.03324470095429E-04     3.63302542193241E-10     8.32457355356074E-04     2.92615206355972E-05     1.05690101741670E+16     5.60000000000000E+01
     6.97068354177363E-01     7.00029300903260E-02     8.28287574740496E-07     1.04730265505660E-06     5.09260708911436E-04     3.18017815576265E-04     3.95950071669688E-10     8.38955837233320E-04     3.18896520991116E-05     1.08021392766537E+16     5.80000000000000E+01
     6.97041458716115E-01     7.00033078744927E-02     8.91157853670680E-07     1.00054993597084E-06     4.86535305243933E-04     3.32631023979218E-04     4.29962463576565E-10     8.44314006185712E-04     3.46275268390341E-05     1.10320736201319E+16     6.00000000000000E+01
     6.97015397971537E-01     7.00037173817526E-02     9.61334355076040E-07     9.55952113776544E-07     4.64862389663287E-04     3.47145839707145E-04     4.65313727040703E-10     8.48600972220803E-04     3.74730466261866E-05     1.12589364285109E+16     6.20000000000000E+01
     6.96990121481310E-01     7.00041598227103E-02     1.03758849816496E-06     9.13417565927359E-07     4.44196649696629E-04     3.61545388994692E-04     5.01976088829455E-10     8.51882483137344E-04     4.04239701311561E-05     1.14828458947590E+16     6.40000000000000E+01
     6.96965581415852E-01     7.00046363817566E-02     1.11904621627316E-06     8.72857763014709E-07     4.24494459937272E-04     3.75814105889781E-04     5.39920172715773E-10     8.54221062938871E-04     4.34779273346180E-05     1.17039155484716E+16     6.60000000000000E+01
     6.96941732381786E-01     7.00051482156905E-02     1.20508064055422E-06     8.34187426943292E-07     4.05713908004274E-04     3.89937662075092E-04     5.79115167850295E-10     8.55676149689088E-04     4.66324330488824E-05     1.19222545536768E+16     6.80000000000000E+01
     6.96918531253501E-01     7.00056964524781E-02     1.29523250245800E-06     7.97324606271249E-07     3.87814793030807E-04     4.03902899862523E-04     6.19528987864242E-10     8.56304230769202E-04     4.98848996997542E-05     1.21379679661235E+16     7.00000000000000E+01
     6.96895937033095E-01     7.00062821901585E-02     1.38915818235656E-06     7.62190669673147E-07     3.70758597129651E-04     4.17697768629674E-04     6.61128420037651E-10     8.56158974953821E-04     5.32326493064084E-05     1.23511569495460E+16     7.20000000000000E+01
     6.96873910728619E-01     7.00069064958823E-02     1.48659402255302E-06     7.28710254236869E-07     3.54508442459551E-04     4.31311264380409E-04     7.03879265368500E-10     8.55291360272730E-04     5.66729247312572E-05     1.25619189653463E+16     7.40000000000000E+01
     6.96852415244858E-01     7.00075704050715E-02     1.58733057575191E-06     6.96811188771389E-07     3.39029040807889E-04     4.44733372177991E-04     7.47746470278246E-10     8.53749797244606E-04     6.02029002585229E-05     1.27703479438929E+16     7.60000000000000E+01
     6.96831415285754E-01     7.00082749207001E-02     1.69119559386151E-06     6.66424396255324E-07     3.24286637151573E-04     4.57955011520686E-04     7.92694249779679E-10     8.51580247156446E-04     6.38196914869316E-05     1.29765344387350E+16     7.80000000000000E+01
     6.96810877264844E-01     7.00090210126806E-02     1.79804214997250E-06     6.37483786272570E-07     3.10248950795815E-04     4.70967984266963E-04     8.38686203254016E-10     8.48826335685395E-04     6.75203646293816E-05     1.31805657689614E+16     8.00000000000000E+01
     6.96790769221701E-01     7.00098096173415E-02     1.90773998283496E-06     6.09926143011491E-07     2.96885115925481E-04     4.83764924850230E-04     8.85685423612279E-10     8.45529462131497E-04     7.13019452815259E-05     1.33825261525966E+16     8.20000000000000E+01
     6.96771060745256E-01     7.00106416370171E-02     2.02017022373163E-06     5.83691009667170E-07     2.84165622065346E-04     4.96339253286292E-04     9.33654598400816E-10     8.41728903216111E-04     7.51614265442578E-05     1.35824968297317E+16     8.40000000000000E+01
     6.96751722902225E-01     7.00115179397312E-02     2.13522203413342E-06     5.58720573170901E-07     2.72062255649891E-04     5.08685130617503E-04     9.82556103898704E-10     8.37461911983913E-04     7.90957765852889E-05     1.37805561779582E+16     8.60000000000000E+01
     6.96732728168831E-01     7.00124393589549E-02     2.25278986612042E-06     5.34959552068034E-07     2.60548043478902E-04     5.20797416281182E-04     1.03235209381846E-09     8.32763812708583E-04     8.31019457610554E-05     1.39767798228071E+16     8.80000000000000E+01
     6.96714050365881E-01     7.00134066934348E-02     2.37277144090279E-06     5.12355087243720E-07     2.49597197954342E-04     5.32671627406926E-04     1.08300458239690E-09     8.27668091806697E-04     8.71768732993109E-05     1.41712407430672E+16     9.00000000000000E+01
     6.96695664597648E-01     7.00144207071010E-02     2.49506661059492E-06     4.90856635477291E-07     2.39185064169558E-04     5.44303900237016E-04     1.13447552157170E-09     8.22206484372495E-04     9.13174934993416E-05     1.43640093703585E+16     9.20000000000000E+01
     6.96677547194128E-01     7.00154821290468E-02     2.61957681859672E-06     4.70415866460089E-07     2.29288069017082E-04     5.55690953553832E-04     1.18672687247151E-09     8.16409056538519E-04     9.55207414786419E-05     1.45551536835628E+16     9.40000000000000E+01
     6.96659675655963E-01     7.00165916535704E-02     2.74620471210329E-06     4.50986564102289E-07     2.19883672500146E-04     5.66830053875208E-04     1.23972067197353E-09     8.10304284104435E-04     9.97835585233372E-05     1.47447392991827E+16     9.60000000000000E+01
     6.96642028601775E-01     7.00177499402725E-02     2.87485379958952E-06     4.32524532179887E-07     2.10950321222390E-04     5.77718982309895E-04     1.29341909464845E-09     8.03919127647706E-04     1.04102897069148E-04     1.49328295579972E+16     9.80000000000000E+01
     6.96624585717990E-01     7.00189576142089E-02     3.00542827054528E-06     4.14987503862717E-07     2.02467403885476E-04     5.88356003047769E-04     1.34778451019459E-09     7.97279104187616E-04     1.08475725320225E-04     1.51194856079297E+16     1.00000000000000E+02
     6.96607327711074E-01     7.00202152660939E-02     3.13783297865237E-06     3.98335055008084E-07     1.94415208733753E-04     5.98739833441916E-04     1.40277953650256E-09     7.90408355493900E-04     1.12899031517239E-04     1.53047664832199E+16     1.02000000000000E+02
     6.96590236261969E-01     7.00215234525513E-02     3.27197347574810E-06     3.82528521338615E-07     1.86774882946263E-04     6.08869615588496E-04     1.45836708863886E-09     7.83329713223070E-04     1.17369827878001E-04     1.54887291802443E+16     1.04000000000000E+02
     6.96573293982540E-01     7.00228826964080E-02     3.40775603848416E-06     3.67530919446221E-07     1.79528393918587E-04     6.18744889313567E-04     1.51451042402699E-09     7.76064761066503E-04     1.21885154232994E-04     1.56714287302537E+16     1.06000000000000E+02
     6.96556484373966E-01     7.00242934870265E-02     3.54508771004951E-06     3.53306871378668E-07     1.72658492324577E-04     6.28365566505179E-04     1.57117318402060E-09     7.68633894044302E-04     1.26442081371335E-04     1.58529182691367E+16     1.08000000000000E+02
     6.96539791787020E-01     7.00257562806745E-02     3.68387637427603E-06     3.39822532610731E-07     1.66148676866481E-04     6.37731906738220E-04     1.62831943203575E-09     7.61056375058549E-04     1.31037714110436E-04     1.60332491042999E+16     1.10000000000000E+02
     6.96523201384143E-01     7.00272715009276E-02     3.82403084265899E-06     3.27045523317908E-07     1.59983160661568E-04     6.46844494137621E-04     1.68591368841396E-09     7.53350388817992E-04     1.35669194103158E-04     1.62124707788079E+16     1.12000000000000E+02
     6.96506699103174E-01     7.00288395391030E-02     3.96546093447561E-06     3.14944862794996E-07     1.54146839177032E-04     6.55704215397840E-04     1.74392096226054E-09     7.45533093304817E-04     1.40333702402083E-04     1.63906311329848E+16     1.14000000000000E+02
     6.96490271622687E-01     7.00304607547199E-02     4.10807755095413E-06     3.03490906903627E-07     1.48625259655202E-04     6.64312238916849E-04     1.80230678038858E-09     7.37620668871638E-04     1.45028461791678E-04     1.65677763635649E+16     1.16000000000000E+02
     6.96473906328890E-01     7.00321354759865E-02     4.25179274819025E-06     2.92655288449267E-07     1.43404591984585E-04     6.72669995016200E-04     1.86103721350088E-09     7.29628365028977E-04     1.49750738896389E-04     1.67439510804468E+16     1.18000000000000E+02
     6.96457591283970E-01     7.00338640003091E-02     4.39651981033795E-06     2.82410860242844E-07     1.38471600889685E-04     6.80779157153537E-04     1.92007889978759E-09     7.21570545121206E-04     1.54497846086096E-04     1.69191983612524E+16     1.20000000000000E+02
     6.96441315195825E-01     7.00356465948216E-02     4.54217331756839E-06     2.72731640804544E-07     1.33813619418683E-04     6.88641624107707E-04     1.97939906615609E-09     7.13460728931353E-04     1.59267143184823E-04     1.70935598037372E+16     1.22000000000000E+02
     6.96425067389143E-01     7.00374834969334E-02     4.68866920662322E-06     2.63592762570559E-07     1.29418523660880E-04     6.96259503083951E-04     2.03896554710783E-09     7.05311633325045E-04     1.64056038995388E-04     1.72670755761662E+16     1.24000000000000E+02
     6.96408837777734E-01     7.00393749148942E-02     4.83592482597106E-06     2.54970422483682E-07     1.25274708633597E-04     7.03635093695923E-04     2.09874680149370E-09     6.97135211024632E-04     1.68861992650596E-04     1.74397844657473E+16     1.26000000000000E+02
     6.96392616838089E-01     7.00413210283725E-02     4.98385898691039E-06     2.46841834856233E-07     1.21371065282374E-04     7.10770872783689E-04     2.15871192722181E-09     6.88942687599297E-04     1.73682514800950E-04     1.76117239252029E+16     1.28000000000000E+02
     6.96376395584082E-01     7.00433219890470E-02     5.13239200986613E-06     2.39185186399659E-07     1.17696958542824E-04     7.17669480028392E-04     2.21883067405707E-09     6.80744596753380E-04     1.78515168648469E-04     1.77829301175670E+16     1.30000000000000E+02
     6.96360165543053E-01     7.00453779212112E-02     5.28144576390279E-06     2.31979593804227E-07     1.14242206651442E-04     7.24333704503442E-04     2.27907345420647E-09     6.72550813611645E-04     1.83357570802314E-04     1.79534379588873E+16     1.32000000000000E+02
     6.96343918732199E-01     7.00474889223807E-02     5.43094370484427E-06     2.25205061927461E-07     1.10997060754011E-04     7.30766471449134E-04     2.33941135238987E-09     6.64370587525653E-04     1.88207392093082E-04     1.81232811604248E+16     1.34000000000000E+02
     6.96327647636604E-01     7.00496550639142E-02     5.58081090587064E-06     2.18842445013118E-07     1.07952185998044E-04     7.36970830160758E-04     2.39981613331509E-09     6.56212572495788E-04     1.93062358178397E-04     1.82924922683537E+16     1.36000000000000E+02
     6.96311345188378E-01     7.00518763916410E-02     5.73097408336940E-06     2.12873409969681E-07     1.05098643635161E-04     7.42949942635003E-04     2.46026024746921E-09     6.48084855965883E-04     1.97920250010372E-04     1.84611027017473E+16     1.38000000000000E+02
     6.96295004744910E-01     7.00541529264817E-02     5.88136162674783E-06     2.07280398016683E-07     1.02427872319349E-04     7.48707071612713E-04     2.52071683827380E-09     6.39994988908944E-04     2.02778904417396E-04     1.86291427919143E+16     1.40000000000000E+02
     6.96278620072008E-01     7.00564846651033E-02     6.03190360601002E-06     2.02046595404991E-07     9.99316738443064E-05     7.54245571952583E-04     2.58115974160553E-09     6.31950008770495E-04     2.07636214071464E-04     1.87966418142271E+16     1.42000000000000E+02
     6.96262185324126E-01     7.00588715805447E-02     6.18253179308032E-06     1.97155898702676E-07     9.76021962215237E-05     7.59568880009417E-04     2.64156349023312E-09     6.23956466674791E-04     2.12490127839000E-04     1.89636280243981E+16     1.44000000000000E+02
     6.96245695026441E-01     7.00613136228566E-02     6.33317967458868E-06     1.92592883507593E-07     9.54319184349426E-05     7.64680504269885E-04     2.70190331512742E-09     6.16020451936254E-04     2.17338650897511E-04     1.91301286919265E+16     1.46000000000000E+02
     6.96229144058165E-01     7.00638107197421E-02     6.48378245946582E-06     1.88342775438134E-07     9.34136363077075E-05     7.69584016822410E-04     2.76215514517444E-09     6.08147614766291E-04     2.22179844713547E-04     1.92961701316151E+16     1.48000000000000E+02
     6.96212527636287E-01     7.00663627771941E-02     6.63427708486304E-06     1.84391421893775E-07     9.15404487456471E-05     7.74283045108378E-04     2.82229560637994E-09     6.00343188364968E-04     2.27011826978648E-04     1.94617777344153E+16     1.50000000000000E+02
     6.96195841300093E-01     7.00689696801340E-02     6.78460221883444E-06     1.80725265260156E-07     8.98057446842158E-05     7.78781264200134E-04     2.88230201991322E-09     5.92612009873318E-04     2.31832771456222E-04     1.96269759970557E+16     1.52000000000000E+02
     6.96179080895658E-01     7.00716312930488E-02     6.93469826323408E-06     1.77331316038422E-07     8.82031899989463E-05     7.83082389051445E-04     2.94215240028653E-09     5.84958541381606E-04     2.36640907836334E-04     1.97917885517212E+16     1.54000000000000E+02
     6.96162242562687E-01     7.00743474606249E-02     7.08450734701039E-06     1.74197130290261E-07     8.67267165210130E-05     7.87190168323480E-04     3.00182545034623E-09     5.77386887518723E-04     2.41434521334039E-04     1.99562381920566E+16     1.56000000000000E+02
     6.96145322720447E-01     7.00771180083762E-02     7.23397332367310E-06     1.71310785380503E-07     8.53705102212226E-05     7.91108377585899E-04     3.06130055768850E-09     5.69900814380830E-04     2.46211952402442E-04     2.01203469005760E+16     1.58000000000000E+02
     6.96128318054525E-01     7.00799427432718E-02     7.38304176535821E-06     1.68660857238995E-07     8.41290001359720E-05     7.94840813072922E-04     3.12055778994648E-09     5.62503767255968E-04     2.50971596354756E-04     2.02841358747788E+16     1.60000000000000E+02
     6.96111225504532E-01     7.00828214543554E-02     7.53165995343844E-06     1.66236399322451E-07     8.29968481215259E-05     7.98391286057025E-04     3.17957788897227E-09     5.55198886993854E-04     2.55711902896950E-04     2.04476255517785E+16     1.62000000000000E+02
     6.96094042252316E-01     7.00857539133595E-02     7.67977686746430E-06     1.64026922494396E-07     8.19689390560570E-05     8.01763617554112E-04     3.23834226449645E-09     5.47989025639589E-04     2.60431375618024E-04     2.06108356321076E+16     1.64000000000000E+02
     6.96076765710465E-01     7.00887398753140E-02     7.82734317318758E-06     1.62022375412364E-07     8.10403712880894E-05     8.04961633210911E-04     3.29683298749148E-09     5.40876761663122E-04     2.65128571456295E-04     2.07737851030708E+16     1.66000000000000E+02
     6.96059393510966E-01     7.00917790791552E-02     7.97431121002730E-06     1.60213125203633E-07     8.02064472259282E-05     8.07989158297154E-04     3.35503278336451E-09     5.33864414956987E-04     2.69802100151922E-04     2.09364922618396E+16     1.68000000000000E+02
     6.96041923495368E-01     7.00948712483152E-02     8.12063497351498E-06     1.58589940828301E-07     7.94626652360340E-05     8.10850013668030E-04     3.41292502355787E-09     5.26954059686109E-04     2.74450623570465E-04     2.10989747361547E+16     1.70000000000000E+02
     6.96024353704519E-01     7.00980160913123E-02     8.26627009950771E-06     1.57143975661606E-07     7.88047111608373E-05     8.13548011440734E-04     3.47049371773612E-09     5.20147537755640E-04     2.79072855073907E-04     2.12612495056881E+16     1.72000000000000E+02
     6.96006682368831E-01     7.01012133023352E-02     8.41117384665714E-06     1.55866751021783E-07     7.82284502971942E-05     8.16086951011879E-04     3.52772350542086E-09     5.13446471522845E-04     2.83667558846903E-04     2.14233329225610E+16     1.74000000000000E+02
     6.95988907899146E-01     7.01044625618157E-02     8.55530507710644E-06     1.54750140758520E-07     7.77299198912683E-05     8.18470615455039E-04     3.58459964708137E-09     5.06852275657239E-04     2.88233549178947E-04     2.15852407308941E+16     1.76000000000000E+02
     6.95971028878150E-01     7.01077635369903E-02     8.69862423579204E-06     1.53786356805245E-07     7.73053221025640E-05     8.20702768260198E-04     3.64110801481178E-09     5.00366168223724E-04     2.92769689712907E-04     2.17469880854535E+16     1.78000000000000E+02
     6.95953044051852E-01     7.01111158824581E-02     8.84109332970541E-06     1.52967934834714E-07     7.69510170180513E-05     8.22787150107774E-04     3.69723508300411E-09     4.93989181681368E-04     2.97274892693189E-04     2.19085895701903E+16     1.80000000000000E+02
     6.95934952321262E-01     7.01145192407347E-02     8.98267590660168E-06     1.52287720260638E-07     7.66635158348742E-05     8.24727475766277E-04     3.75296791885459E-09     4.87722173603681E-04     3.01748118200392E-04     2.20700592164589E+16     1.82000000000000E+02
     6.95916752735072E-01     7.01179732427831E-02     9.12333703120304E-06     1.51738856010744E-07     7.64394749051882E-05     8.26527431616894E-04     3.80829417213131E-09     4.81565835970623E-04     3.06188373325914E-04     2.22314105195714E+16     1.84000000000000E+02
     6.95898444482142E-01     7.01214775085453E-02     9.26304326218888E-06     1.51314769922411E-07     7.62756895972048E-05     8.28190673039943E-04     3.86320206519731E-09     4.75520704761429E-04     3.10594711367252E-04     2.23926564556773E+16     1.86000000000000E+02
     6.95880026884343E-01     7.01250316474651E-02     9.40176262832976E-06     1.51009162776267E-07     7.61690884666870E-05     8.29720822026038E-04     3.91768038278476E-09     4.69587169032735E-04     3.14966231003057E-04     2.25538094980383E+16     1.88000000000000E+02
     6.95861499389752E-01     7.01286352590005E-02     9.53946460390227E-06     1.50815996927215E-07     7.61167277191738E-05     8.31121464996360E-04     3.97171846156894E-09     4.63765479513302E-04     3.19302075451878E-04     2.27148816327275E+16     1.90000000000000E+02
     6.95842861566392E-01     7.01322879331188E-02     9.67612008317390E-06     1.50729485879169E-07     7.61157861312908E-05     8.32396150948986E-04     4.02530617950363E-09     4.58055756433098E-04     3.23601431611398E-04     2.28758843733954E+16     1.92000000000000E+02
     6.95824113095919E-01     7.01359892507901E-02     9.81170135514434E-06     1.50744083757548E-07     7.61635599222959E-05     8.33548389566529E-04     4.07843394524123E-09     4.52457997433806E-04     3.27863529204527E-04     2.30368287761194E+16     1.94000000000000E+02
     6.95805253767506E-01     7.01397387844758E-02     9.94618207791500E-06     1.50854475114903E-07     7.62574577877151E-05     8.34581649439711E-04     4.13109268745262E-09     4.46972085209542E-04     3.32087639917320E-04     2.31977254539290E+16     1.96000000000000E+02
     6.95786283472417E-01     7.01435360985923E-02     1.00795372520506E-05     1.51055565913765E-07     7.63949965056703E-05     8.35499356694205E-04     4.18327384390698E-09     4.41597794191110E-04     3.36273076517213E-04     2.33585845901500E+16     1.98000000000000E+02
     6.95767202198486E-01     7.01473807499740E-02     1.02117431942869E-05     1.51342474354441E-07     7.65737964677304E-05     8.36304893559516E-04     4.23496935066495E-09     4.36334797354333E-04     3.40419191980435E-04     2.35194159518800E+16     2.00000000000000E+02
     6.95748010024874E-01     7.01512722883273E-02     1.03427775109245E-05     1.51710522143004E-07     7.67915774238889E-05     8.37001597087044E-04     4.28617163120553E-09     4.31182672670401E-04     3.44525378613972E-04     2.36802289030143E+16     2.02000000000000E+02
     6.95728707116983E-01     7.01552102566770E-02     1.04726190710364E-05     1.52155226052886E-07     7.70461543703728E-05     8.37592757967193E-04     4.33687358551842E-09     4.26140909317107E-04     3.48591067174657E-04     2.38410324169712E+16     2.04000000000000E+02
     6.95709293721908E-01     7.01591941917880E-02     1.06012479793213E-05     1.52672290365229E-07     7.73354338648717E-05     8.38081619637991E-04     4.38706857916855E-09     4.21208913173094E-04     3.52615725985783E-04     2.40018350884890E+16     2.06000000000000E+02
     6.95689770163762E-01     7.01632236245919E-02     1.07286455492088E-05     1.53257599103474E-07     7.76574102416952E-05     8.38471377321136E-04     4.43675043243112E-09     4.16386012478952E-04     3.56598860059478E-04     2.41626451456214E+16     2.08000000000000E+02
     6.95670136839186E-01     7.01672980806046E-02     1.08547942758133E-05     1.53907208570289E-07     7.80101619739814E-05     8.38765177158972E-04     4.48591340940616E-09     4.11671463251913E-04     3.60540010217346E-04     2.43234704614164E+16     2.10000000000000E+02
     6.95650394213324E-01     7.01714170803204E-02     1.09796778087518E-05     1.54617340659955E-07     7.83918484131019E-05     8.38966115604073E-04     4.53455220717548E-09     4.07064454066873E-04     3.64438752214338E-04     2.44843185647577E+16     2.12000000000000E+02
     6.95630542815791E-01     7.01755801396059E-02     1.11032809251466E-05     1.55384376147314E-07     7.88007065166653E-05     8.39077238796287E-04     4.58266194502710E-09     4.02564110855722E-04     3.68294695868092E-04     2.46451966512098E+16     2.14000000000000E+02
     6.95610583236824E-01     7.01797867700815E-02     1.12255895026494E-05     1.56204848282160E-07     7.92350477250936E-05     8.39101542037092E-04     4.63023815372457E-09     3.98169501456906E-04     3.72107484191828E-04     2.48061115935239E+16     2.16000000000000E+02
     6.95590516123498E-01     7.01840364795019E-02     1.13465904924658E-05     1.57075436486454E-07     7.96932548882216E-05     8.39041969296928E-04     4.67727676478912E-09     3.93879640080882E-04     3.75876792528257E-04     2.49670699520310E+16     2.18000000000000E+02
     6.95570342176427E-01     7.01883287721061E-02     1.14662718926263E-05     1.57992960843154E-07     8.01737795769661E-05     8.38901412969534E-04     4.72377409997118E-09     3.89693491127323E-04     3.79602327698613E-04     2.51280779841339E+16     2.20000000000000E+02
     6.95550062146312E-01     7.01926631489756E-02     1.15846227213456E-05     1.58954376334387E-07     8.06751392730840E-05     8.38682713543143E-04     4.76972686072486E-09     3.85609973207240E-04     3.83283827151997E-04     2.52891416540643E+16     2.22000000000000E+02
     6.95529676830658E-01     7.01970391083821E-02     1.17016329904509E-05     1.59956767346990E-07     8.11959146889942E-05     8.38388659355458E-04     4.81513211774071E-09     3.81627962946269E-04     3.86921058119369E-04     2.54502666423386E+16     2.24000000000000E+02
     6.95509187070799E-01     7.02014561461162E-02     1.18172936791325E-05     1.60997342680154E-07     8.17347473318635E-05     8.38021986500239E-04     4.85998730066191E-09     3.77746298376529E-04     3.90513816782261E-04     2.56114583546210E+16     2.26000000000000E+02
