# Ground state spin evaluation table: spins2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==A==                      ==Z==                  ==Spin==                  ==Number=of=States==            ==Experimental==            ==Theoretical==
  139                        59                       5/2                            6                             s                             s  
  139                        60                       3/2                            4                             s                             s  
  139                        61                       5/2                            6                             w                             w  
  139                        62                       1/2                            2                             s                             s  
  139                        63                       11/2                           12                            w                             w  
  139                        64                       9/2                            10                            w                             s  
  139                        65                       5/2                            6                             w                             s  
  139                        66                       7/2                            8                             w                             w  
  140                        50                       0                              1                             s                             w  
  140                        51                       3                              7                             w                             w  
  140                        52                       0                              1                             s                             w  
  140                        53                       2                              5                             w                             w  
  140                        54                       0                              1                             s                             w  
  140                        55                       1                              3                             s                             s  
  140                        56                       0                              1                             s                             w  
  140                        57                       3                              7                             s                             s  
  140                        58                       0                              1                             s                             w  
  140                        59                       1                              3                             s                             s  
  140                        60                       0                              1                             s                             w  
  140                        61                       1                              3                             s                             w  
  140                        62                       0                              1                             s                             w  
  140                        63                       1                              3                             s                             w  
  140                        64                       0                              1                             s                             w  
  140                        65                       7                              15                            w                             w  
  140                        66                       0                              1                             s                             w  
  140                        67                       8                              17                            w                             s  
  141                        51                       7/2                            8                             w                             s  
  141                        52                       5/2                            6                             w                             s  
  141                        53                       7/2                            8                             w                             s  
  141                        54                       5/2                            6                             s                             s  
  141                        55                       7/2                            8                             s                             s  
  141                        56                       3/2                            4                             s                             s  
  141                        57                       7/2                            8                             w                             w  
  141                        58                       7/2                            8                             s                             s  
  141                        59                       5/2                            6                             s                             s  
  141                        60                       3/2                            4                             s                             s  
  141                        61                       5/2                            6                             s                             s  
  141                        62                       1/2                            2                             s                             s  
  141                        63                       5/2                            6                             s                             w  
  141                        64                       1/2                            2                             w                             w  
  141                        65                       5/2                            6                             w                             w  
  141                        66                       9/2                            10                            w                             w  
  141                        67                       7/2                            8                             w                             w  
  142                        52                       0                              1                             s                             w  
  142                        53                       2                              5                             w                             s  
  142                        54                       0                              1                             s                             w  
  142                        55                       0                              1                             s                             s  
  142                        56                       0                              1                             s                             w  
  142                        57                       2                              5                             s                             w  
  142                        58                       0                              1                             s                             w  
  142                        59                       2                              5                             s                             s  
  142                        60                       0                              1                             s                             w  
  142                        61                       1                              3                             s                             w  
  142                        62                       0                              1                             s                             w  
  142                        63                       1                              3                             s                             w  
  142                        64                       0                              1                             s                             w  
  142                        65                       1                              3                             s                             w  
  142                        66                       0                              1                             s                             w  
  142                        68                       0                              1                             s                             w  
  143                        52                       7/2                            8                             w                             s  
  143                        53                       7/2                            8                             w                             s  
  143                        54                       5/2                            6                             s                             s  
  143                        55                       3/2                            4                             s                             s  
  143                        56                       5/2                            6                             s                             s  
  143                        57                       7/2                            8                             w                             w  
  143                        58                       3/2                            4                             s                             s  
  143                        59                       7/2                            8                             s                             s  
  143                        60                       7/2                            8                             s                             s  
  143                        61                       5/2                            6                             s                             w  
  143                        62                       3/2                            4                             s                             s  
  143                        63                       5/2                            6                             s                             s  
  143                        64                       1/2                            2                             s                             w  
  143                        65                       11/2                           12                            w                             w  
  143                        66                       1/2                            2                             w                             w  
  143                        67                       11/2                           12                            w                             s  
  143                        68                       9/2                            10                            w                             s  
  144                        52                       0                              1                             s                             w  
  144                        53                       1                              3                             w                             s  
  144                        54                       0                              1                             s                             w  
  144                        55                       1                              3                             s                             s  
  144                        56                       0                              1                             s                             w  
  144                        57                       3                              7                             w                             w  
  144                        58                       0                              1                             s                             w  
  144                        59                       0                              1                             s                             w  
  144                        60                       0                              1                             s                             w  
  144                        61                       5                              11                            s                             w  
  144                        62                       0                              1                             s                             w  
  144                        63                       1                              3                             s                             w  
  144                        64                       0                              1                             s                             w  
  144                        65                       1                              3                             s                             w  
  144                        66                       0                              1                             s                             w  
  144                        67                       5                              11                            w                             w  
  144                        68                       0                              1                             s                             w  
  144                        69                       10                             21                            w                             w  
  145                        52                       0                              1                             s                             w  
  145                        53                       7/2                            8                             w                             s  
  145                        54                       3/2                            4                             w                             s  
  145                        55                       3/2                            4                             s                             s  
  145                        56                       5/2                            6                             s                             s  
  145                        57                       5/2                            6                             w                             w  
  145                        58                       5/2                            6                             w                             s  
  145                        59                       7/2                            8                             s                             w  
  145                        60                       7/2                            8                             s                             s  
  145                        61                       5/2                            6                             s                             w  
  145                        62                       7/2                            8                             s                             w  
  145                        63                       5/2                            6                             s                             s  
  145                        64                       1/2                            2                             s                             s  
  145                        65                       11/2                           12                            w                             w  
  145                        66                       1/2                            2                             w                             w  
  145                        67                       11/2                           12                            w                             w  
  145                        68                       1/2                            2                             w                             w  
  145                        69                       11/2                           12                            w                             w  
  146                        54                       0                              1                             s                             w  
  146                        55                       1                              3                             s                             s  
  146                        56                       0                              1                             s                             w  
  146                        57                       5                              11                            w                             w  
  146                        58                       0                              1                             s                             w  
  146                        59                       2                              5                             w                             w  
  146                        60                       0                              1                             s                             w  
  146                        61                       3                              7                             s                             w  
  146                        62                       0                              1                             s                             w  
  146                        63                       4                              9                             s                             s  
  146                        64                       0                              1                             s                             w  
  146                        65                       1                              3                             s                             w  
  146                        66                       0                              1                             s                             w  
  146                        67                       6                              13                            w                             w  
  146                        68                       0                              1                             s                             w  
  146                        69                       1                              3                             w                             w  
  147                        53                       3/2                            4                             w                             s  
  147                        54                       3/2                            4                             w                             s  
  147                        55                       3/2                            4                             w                             w  
  147                        56                       5/2                            6                             s                             w  
  147                        57                       5/2                            6                             w                             w  
  147                        58                       5/2                            6                             w                             w  
  147                        59                       3/2                            4                             s                             w  
  147                        60                       5/2                            6                             s                             s  
  147                        61                       7/2                            8                             s                             s  
  147                        62                       7/2                            8                             s                             s  
  147                        63                       5/2                            6                             s                             s  
  147                        64                       7/2                            8                             s                             s  
  147                        65                       1/2                            2                             w                             w  
  147                        66                       1/2                            2                             w                             w  
  147                        67                       11/2                           12                            w                             w  
  147                        68                       1/2                            2                             w                             w  
  147                        69                       11/2                           12                            s                             w  
  148                        54                       0                              1                             s                             w  
  148                        55                       2                              5                             w                             w  
  148                        56                       0                              1                             s                             w  
  148                        57                       2                              5                             w                             w  
  148                        58                       0                              1                             s                             w  
  148                        59                       1                              3                             s                             w  
  148                        60                       0                              1                             s                             w  
  148                        61                       1                              3                             s                             s  
  148                        62                       0                              1                             s                             w  
  148                        63                       5                              11                            s                             s  
  148                        64                       0                              1                             s                             w  
  148                        65                       2                              5                             s                             w  
  148                        66                       0                              1                             s                             w  
  148                        67                       1                              3                             w                             w  
  148                        68                       0                              1                             s                             w  
  148                        69                       10                             21                            w                             w  
  148                        70                       0                              1                             s                             w  
  149                        54                       3/2                            4                             w                             s  
  149                        55                       3/2                            4                             w                             s  
  149                        56                       3/2                            4                             w                             s  
  149                        57                       3/2                            4                             w                             w  
  149                        58                       3/2                            4                             w                             s  
  149                        59                       5/2                            6                             w                             w  
  149                        60                       5/2                            6                             s                             s  
  149                        61                       7/2                            8                             s                             s  
  149                        62                       7/2                            8                             s                             s  
  149                        63                       5/2                            6                             s                             s  
  149                        64                       7/2                            8                             s                             s  
  149                        65                       1/2                            2                             s                             w  
  149                        66                       7/2                            8                             s                             w  
  149                        67                       11/2                           12                            w                             w  
  149                        68                       1/2                            2                             w                             w  
  149                        69                       11/2                           12                            s                             w  
  149                        70                       1/2                            2                             w                             w  
  150                        54                       0                              1                             s                             w  
  150                        55                       2                              5                             w                             w  
  150                        56                       0                              1                             s                             w  
  150                        57                       3                              7                             w                             w  
  150                        58                       0                              1                             s                             w  
  150                        59                       1                              3                             s                             w  
  150                        60                       0                              1                             s                             w  
  150                        61                       1                              3                             w                             w  
  150                        62                       0                              1                             s                             w  
  150                        63                       5                              11                            s                             w  
  150                        64                       0                              1                             s                             w  
  150                        65                       2                              5                             w                             w  
  150                        66                       0                              1                             s                             w  
  150                        67                       2                              5                             w                             w  
  150                        68                       0                              1                             s                             w  
  150                        69                       1                              3                             w                             w  
  150                        70                       0                              1                             s                             w  
  150                        71                       5                              11                            w                             w  
  151                        55                       3/2                            4                             w                             s  
  151                        56                       3/2                            4                             w                             s  
  151                        57                       1/2                            2                             w                             s  
  151                        58                       3/2                            4                             w                             w  
  151                        59                       3/2                            4                             w                             w  
  151                        60                       3/2                            4                             s                             w  
  151                        61                       5/2                            6                             s                             s  
  151                        62                       5/2                            6                             s                             s  
  151                        63                       5/2                            6                             s                             s  
  151                        64                       7/2                            8                             s                             s  
  151                        65                       1/2                            2                             s                             s  
  151                        66                       7/2                            8                             s                             s  
  151                        67                       11/2                           12                            s                             s  
  151                        68                       7/2                            8                             w                             w  
  151                        69                       11/2                           12                            w                             w  
  151                        70                       1/2                            2                             w                             w  
  151                        71                       11/2                           12                            s                             w  
  152                        56                       0                              1                             s                             w  
  152                        57                       2                              5                             w                             s  
  152                        58                       0                              1                             s                             w  
  152                        59                       4                              9                             s                             w  
  152                        60                       0                              1                             s                             w  
  152                        61                       1                              3                             s                             w  
  152                        62                       0                              1                             s                             w  
  152                        63                       3                              7                             s                             s  
  152                        64                       0                              1                             s                             w  
  152                        65                       2                              5                             s                             s  
  152                        66                       0                              1                             s                             w  
  152                        67                       2                              5                             s                             s  
  152                        68                       0                              1                             s                             w  
  152                        69                       2                              5                             w                             w  
  152                        70                       0                              1                             s                             w  
  153                        56                       5/2                            6                             w                             s  
  153                        57                       1/2                            2                             w                             s  
  153                        58                       3/2                            4                             w                             s  
  153                        59                       3/2                            4                             w                             s  
  153                        60                       3/2                            4                             w                             w  
  153                        61                       5/2                            6                             s                             w  
  153                        62                       3/2                            4                             s                             s  
  153                        63                       5/2                            6                             s                             s  
  153                        64                       3/2                            4                             s                             s  
  153                        65                       5/2                            6                             s                             s  
  153                        66                       7/2                            8                             s                             s  
  153                        67                       11/2                           12                            s                             s  
  153                        68                       7/2                            8                             s                             s  
  153                        69                       11/2                           12                            w                             w  
  153                        70                       7/2                            8                             s                             w  
  153                        71                       11/2                           12                            s                             w  
  153                        72                       1/2                            2                             w                             s  
  154                        56                       0                              1                             s                             w  
  154                        57                       2                              5                             w                             s  
  154                        58                       0                              1                             s                             w  
  154                        59                       3                              7                             w                             w  
  154                        60                       0                              1                             s                             w  
  154                        61                       4                              9                             w                             w  
  154                        62                       0                              1                             s                             w  
  154                        63                       3                              7                             s                             s  
  154                        64                       0                              1                             s                             w  
  154                        65                       3                              7                             s                             s  
  154                        66                       0                              1                             s                             w  
  154                        67                       2                              5                             s                             s  
  154                        68                       0                              1                             s                             w  
  154                        69                       2                              5                             w                             w  
  154                        70                       0                              1                             s                             w  
  154                        71                       2                              5                             w                             w  
  154                        72                       0                              1                             s                             w  
  155                        57                       1/2                            2                             w                             s  
  155                        58                       5/2                            6                             w                             s  
  155                        59                       3/2                            4                             w                             s  
  155                        60                       3/2                            4                             w                             w  
  155                        61                       5/2                            6                             w                             w  
  155                        62                       3/2                            4                             s                             s  
  155                        63                       5/2                            6                             s                             s  
  155                        64                       3/2                            4                             s                             s  
  155                        65                       3/2                            4                             s                             s  
  155                        66                       3/2                            4                             s                             s  
  155                        67                       5/2                            6                             s                             s  
  155                        68                       7/2                            8                             s                             w  
  155                        69                       11/2                           12                            s                             w  
  155                        70                       7/2                            8                             w                             w  
  155                        71                       11/2                           12                            s                             w  
  155                        72                       7/2                            8                             w                             s  
  155                        73                       11/2                           12                            s                             w  
  156                        57                       4                              9                             w                             s  
  156                        58                       0                              1                             s                             w  
  156                        59                       1                              3                             w                             s  
  156                        60                       0                              1                             s                             w  
  156                        61                       4                              9                             s                             w  
  156                        62                       0                              1                             s                             w  
  156                        63                       0                              1                             s                             s  
  156                        64                       0                              1                             s                             w  
  156                        65                       3                              7                             s                             s  
  156                        66                       0                              1                             s                             w  
  156                        67                       4                              9                             s                             s  
  156                        68                       0                              1                             s                             w  
  156                        69                       2                              5                             s                             w  
  156                        70                       0                              1                             s                             w  
  156                        71                       2                              5                             w                             w  
  156                        72                       0                              1                             s                             w  
  156                        73                       2                              5                             w                             w  
  157                        57                       1/2                            2                             w                             s  
  157                        58                       7/2                            8                             w                             s  
  157                        59                       3/2                            4                             w                             s  
  157                        60                       5/2                            6                             w                             s  
  157                        61                       5/2                            6                             w                             w  
  157                        62                       3/2                            4                             w                             s  
