# Ground state spin evaluation table: nubase2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==Nuclide==                 ==Spin==                  ==Number=of=States
te143                           7/2                            8  
i143                            7/2                            8  
xe143                           5/2                            6  
cs143                           3/2                            4  
ba143                           5/2                            6  
la143                           7/2                            8  
ce143                           3/2                            4  
pr143                           7/2                            8  
nd143                           7/2                            8  
pm143                           5/2                            6  
sm143                           3/2                            4  
eu143                           5/2                            6  
gd143                           1/2                            2  
tb143                           11/2                           12 
dy143                           1/2                            2  
ho143                           11/2                           12 
er143                           9/2                            10 
te144                           0                              1  
i144                            1                              3  
xe144                           0                              1  
cs144                           1                              3  
ba144                           0                              1  
la144                           3                              7  
ce144                           0                              1  
pr144                           0                              1  
nd144                           0                              1  
pm144                           5                              11 
sm144                           0                              1  
eu144                           1                              3  
gd144                           0                              1  
tb144                           1                              3  
dy144                           0                              1  
ho144                           5                              11 
er144                           0                              1  
tm144                           10                             None
te145                           0                              1  
i145                            7/2                            8  
xe145                           3/2                            4  
cs145                           3/2                            4  
ba145                           5/2                            6  
la145                           5/2                            6  
ce145                           5/2                            6  
pr145                           7/2                            8  
nd145                           7/2                            8  
pm145                           5/2                            6  
sm145                           7/2                            8  
eu145                           5/2                            6  
gd145                           1/2                            2  
tb145                           11/2                           12 
dy145                           1/2                            2  
ho145                           11/2                           12 
er145                           1/2                            2  
tm145                           11/2                           12 
xe146                           0                              1  
cs146                           1                              3  
ba146                           0                              1  
la146                           5                              11 
ce146                           0                              1  
pr146                           2                              5  
nd146                           0                              1  
pm146                           3                              7  
sm146                           0                              1  
eu146                           4                              9  
gd146                           0                              1  
tb146                           1                              3  
dy146                           0                              1  
ho146                           6                              13 
er146                           0                              1  
tm146                           1                              3  
i147                            3/2                            4  
xe147                           3/2                            4  
cs147                           3/2                            4  
ba147                           5/2                            6  
la147                           5/2                            6  
ce147                           5/2                            6  
pr147                           3/2                            4  
nd147                           5/2                            6  
pm147                           7/2                            8  
sm147                           7/2                            8  
eu147                           5/2                            6  
gd147                           7/2                            8  
tb147                           1/2                            2  
dy147                           1/2                            2  
ho147                           11/2                           12 
er147                           1/2                            2  
tm147                           11/2                           12 
xe148                           0                              1  
cs148                           2                              5  
ba148                           0                              1  
la148                           2                              5  
ce148                           0                              1  
pr148                           1                              3  
nd148                           0                              1  
pm148                           1                              3  
sm148                           0                              1  
eu148                           5                              11 
gd148                           0                              1  
tb148                           2                              5  
dy148                           0                              1  
ho148                           1                              3  
er148                           0                              1  
tm148                           10                             None
yb148                           0                              1  
xe149                           3/2                            4  
cs149                           3/2                            4  
ba149                           3/2                            4  
la149                           3/2                            4  
ce149                           3/2                            4  
pr149                           5/2                            6  
nd149                           5/2                            6  
pm149                           7/2                            8  
sm149                           7/2                            8  
eu149                           5/2                            6  
gd149                           7/2                            8  
tb149                           1/2                            2  
dy149                           7/2                            8  
ho149                           11/2                           12 
er149                           1/2                            2  
tm149                           11/2                           12 
yb149                           1/2                            2  
xe150                           0                              1  
cs150                           2                              5  
ba150                           0                              1  
la150                           3                              7  
ce150                           0                              1  
pr150                           1                              3  
nd150                           0                              1  
pm150                           1                              3  
sm150                           0                              1  
eu150                           5                              11 
gd150                           0                              1  
tb150                           2                              5  
dy150                           0                              1  
ho150                           2                              5  
er150                           0                              1  
tm150                           1                              3  
yb150                           0                              1  
lu150                           5                              11 
cs151                           3/2                            4  
ba151                           3/2                            4  
la151                           1/2                            2  
ce151                           3/2                            4  
pr151                           3/2                            4  
nd151                           3/2                            4  
pm151                           5/2                            6  
sm151                           5/2                            6  
eu151                           5/2                            6  
gd151                           7/2                            8  
tb151                           1/2                            2  
dy151                           7/2                            8  
ho151                           11/2                           12 
er151                           7/2                            8  
tm151                           11/2                           12 
yb151                           1/2                            2  
lu151                           11/2                           12 
ba152                           0                              1  
la152                           2                              5  
ce152                           0                              1  
pr152                           4                              9  
nd152                           0                              1  
pm152                           1                              3  
sm152                           0                              1  
eu152                           3                              7  
gd152                           0                              1  
tb152                           2                              5  
dy152                           0                              1  
ho152                           2                              5  
er152                           0                              1  
tm152                           2                              5  
yb152                           0                              1  
lu152                           4    5                         9   11 
ba153                           5/2                            6  
la153                           1/2                            2  
ce153                           3/2                            4  
pr153                           3/2                            4  
nd153                           3/2                            4  
pm153                           5/2                            6  
sm153                           3/2                            4  
eu153                           5/2                            6  
gd153                           3/2                            4  
tb153                           5/2                            6  
dy153                           7/2                            8  
ho153                           11/2                           12 
er153                           7/2                            8  
tm153                           11/2                           12 
yb153                           7/2                            8  
lu153                           11/2                           12 
hf153                           1/2                            2  
ba154                           0                              1  
la154                           2                              5  
ce154                           0                              1  
pr154                           3                              7  
nd154                           0                              1  
pm154                           4                              9  
sm154                           0                              1  
eu154                           3                              7  
gd154                           0                              1  
tb154                           3                              7  
dy154                           0                              1  
ho154                           2                              5  
er154                           0                              1  
tm154                           2                              5  
yb154                           0                              1  
lu154                           2                              5  
hf154                           0                              1  
la155                           1/2                            2  
ce155                           5/2                            6  
pr155                           3/2                            4  
nd155                           3/2                            4  
pm155                           5/2                            6  
sm155                           3/2                            4  
eu155                           5/2                            6  
gd155                           3/2                            4  
tb155                           3/2                            4  
dy155                           3/2                            4  
ho155                           5/2                            6  
er155                           7/2                            8  
tm155                           11/2                           12 
yb155                           7/2                            8  
lu155                           11/2                           12 
hf155                           7/2                            8  
ta155                           11/2                           12 
la156                           4                              9  
ce156                           0                              1  
pr156                           1                              3  
nd156                           0                              1  
pm156                           4                              9  
sm156                           0                              1  
eu156                           0                              1  
gd156                           0                              1  
tb156                           3                              7  
dy156                           0                              1  
ho156                           4                              9  
er156                           0                              1  
tm156                           2                              5  
yb156                           0                              1  
lu156                           2                              5  
hf156                           0                              1  
ta156                           2                              5  
la157                           1/2                            2  
ce157                           7/2                            8  
pr157                           3/2                            4  
nd157                           5/2                            6  
pm157                           5/2                            6  
sm157                           3/2                            4  
eu157                           5/2                            6  
gd157                           3/2                            4  
tb157                           3/2                            4  
dy157                           3/2                            4  
ho157                           7/2                            8  
er157                           3/2                            4  
tm157                           1/2                            2  
yb157                           7/2                            8  
lu157                           1/2                            2  
hf157                           7/2                            8  
ta157                           1/2                            2  
w157                            7/2                            8  
ce158                           0                              1  
pr158                           5                              11 
nd158                           0                              1  
pm158                           0    1                         1   3  
sm158                           0                              1  
eu158                           1                              3  
gd158                           0                              1  
tb158                           3                              7  
dy158                           0                              1  
ho158                           5                              11 
er158                           0                              1  
tm158                           2                              5  
yb158                           0                              1  
lu158                           2                              5  
hf158                           0                              1  
ta158                           2                              5  
w158                            0                              1  
ce159                           1/2                            2  
pr159                           3/2                            4  
nd159                           7/2                            8  
pm159                           5/2                            6  
sm159                           5/2                            6  
eu159                           5/2                            6  
gd159                           3/2                            4  
tb159                           3/2                            4  
dy159                           3/2                            4  
ho159                           7/2                            8  
er159                           3/2                            4  
tm159                           5/2                            6  
yb159                           5/2                            6  
lu159                           1/2                            2  
hf159                           7/2                            8  
ta159                           1/2                            2  
w159                            7/2                            8  
re159                           1/2                            2  
pr160                           1                              3  
nd160                           0                              1  
pm160                           6                              13 
sm160                           0                              1  
eu160                           5                              11 
gd160                           0                              1  
tb160                           3                              7  
dy160                           0                              1  
ho160                           5                              11 
er160                           0                              1  
tm160                           1                              3  
yb160                           0                              1  
lu160                           2                              5  
hf160                           0                              1  
ta160                           2                              5  
w160                            0                              1  
re160                           4                              9  
pr161                           3/2                            4  
nd161                           1/2                            2  
pm161                           5/2                            6  
sm161                           7/2                            8  
eu161                           5/2                            6  
gd161                           5/2                            6  
tb161                           3/2                            4  
dy161                           5/2                            6  
ho161                           7/2                            8  
er161                           3/2                            4  
tm161                           7/2                            8  
yb161                           3/2                            4  
lu161                           1/2                            2  
hf161                           7/2                            8  
ta161                           1/2                            2  
w161                            7/2                            8  
re161                           1/2                            2  
os161                           7/2                            8  
nd162                           0                              1  
pm162                           2                              5  
sm162                           0                              1  
eu162                           1                              3  
gd162                           0                              1  
tb162                           1                              3  
dy162                           0                              1  
ho162                           1                              3  
er162                           0                              1  
tm162                           1                              3  
yb162                           0                              1  
lu162                           1                              3  
hf162                           0                              1  
ta162                           3                              7  
w162                            0                              1  
re162                           2                              5  
os162                           0                              1  
nd163                           5/2                            6  
pm163                           5/2                            6  
sm163                           1/2                            2  
eu163                           5/2                            6  
gd163                           7/2                            8  
tb163                           3/2                            4  
dy163                           5/2                            6  
ho163                           7/2                            8  
er163                           5/2                            6  
tm163                           1/2                            2  
yb163                           3/2                            4  
lu163                           1/2                            2  
hf163                           5/2                            6  
ta163                           1/2                            2  
w163                            7/2                            8  
re163                           1/2                            2  
os163                           7/2                            8  
ir163                           1/2                            2  
pm164                           5                              11 
sm164                           0                              1  
eu164                           3                              7  
gd164                           0                              1  
tb164                           5                              11 
dy164                           0                              1  
ho164                           1                              3  
er164                           0                              1  
tm164                           1                              3  
yb164                           0                              1  
lu164                           1                              3  
hf164                           0                              1  
ta164                           3                              7  
w164                            0                              1  
re164                           2                              5  
os164                           0                              1  
ir164                           2                              5  
pm165                           5/2                            6  
sm165                           5/2                            6  
eu165                           5/2                            6  
gd165                           1/2                            2  
tb165                           3/2                            4  
dy165                           7/2                            8  
ho165                           7/2                            8  
er165                           5/2                            6  
tm165                           1/2                            2  
yb165                           5/2                            6  
lu165                           1/2                            2  
hf165                           5/2                            6  
ta165                           1/2  3/2                       2   4  
w165                            5/2                            6  
re165                           1/2                            2  
os165                           7/2                            8  
ir165                           1/2                            2  
pt165                           7/2                            8  
sm166                           0                              1  
eu166                           0                              1  
gd166                           0                              1  
tb166                           1                              3  
dy166                           0                              1  
ho166                           0                              1  
er166                           0                              1  
tm166                           2                              5  
yb166                           0                              1  
lu166                           6                              13 
hf166                           0                              1  
ta166                           2                              5  
w166                            0                              1  
re166                           7                              15 
os166                           0                              1  
ir166                           2                              5  
pt166                           0                              1  
sm167                           7/2                            8  
eu167                           5/2                            6  
gd167                           5/2                            6  
tb167                           3/2                            4  
dy167                           1/2                            2  
ho167                           7/2                            8  
er167                           7/2                            8  
tm167                           1/2                            2  
yb167                           5/2                            6  
lu167                           7/2                            8  
hf167                           5/2                            6  
ta167                           3/2                            4  
w167                            5/2                            6  
re167                           9/2                            10 
os167                           7/2                            8  
ir167                           1/2                            2  
pt167                           7/2                            8  
sm168                           0                              1  
eu168                           6                              13 
gd168                           0                              1  
tb168                           4                              9  
dy168                           0                              1  
ho168                           3                              7  
er168                           0                              1  
tm168                           3                              7  
yb168                           0                              1  
lu168                           6                              13 
hf168                           0                              1  
ta168                           3                              7  
w168                            0                              1  
re168                           7                              15 
os168                           0                              1  
ir168                           2                              5  
pt168                           0                              1  
eu169                           5/2                            6  
gd169                           7/2                            8  
tb169                           3/2                            4  
dy169                           5/2                            6  
ho169                           7/2                            8  
er169                           1/2                            2  
tm169                           1/2                            2  
yb169                           7/2                            8  
lu169                           7/2                            8  
hf169                           5/2                            6  
ta169                           5/2                            6  
w169                            5/2                            6  
re169                           9/2                            10 
os169                           5/2                            6  
ir169                           1/2                            2  
pt169                           7/2                            8  
au169                           1/2                            2  
gd170                           0                              1  
tb170                           2                              5  
dy170                           0                              1  
ho170                           6                              13 
er170                           0                              1  
tm170                           1                              3  
yb170                           0                              1  
lu170                           0                              1  
hf170                           0                              1  
ta170                           3                              7  
w170                            0                              1  
re170                           8    9                         17  19 
os170                           0                              1  
ir170                           3                              7  
pt170                           0                              1  
au170                           2                              5  
hg170                           0                              1  
gd171                           9/2                            10 
tb171                           3/2                            4  
dy171                           7/2                            8  
ho171                           7/2                            8  
er171                           5/2                            6  
tm171                           1/2                            2  
yb171                           1/2                            2  
lu171                           7/2                            8  
hf171                           7/2                            8  
ta171                           5/2                            6  
w171                            5/2                            6  
re171                           9/2                            10 
os171                           5/2                            6  
ir171                           1/2                            2  
pt171                           7/2                            8  
au171                           1/2                            2  
hg171                           3/2                            4  
gd172                           0                              1  
tb172                           6                              13 
dy172                           0                              1  
ho172                           0                              1  
er172                           0                              1  
tm172                           2                              5  
yb172                           0                              1  
lu172                           4                              9  
hf172                           0                              1  
ta172                           3                              7  
w172                            0                              1  
re172                           2                              5  
os172                           0                              1  
ir172                           3    4                         7   9  
pt172                           0                              1  
au172                           2                              5  
hg172                           0                              1  
tb173                           3/2                            4  
dy173                           9/2                            10 
ho173                           7/2                            8  
er173                           7/2                            8  
tm173                           1/2                            2  
yb173                           5/2                            6  
lu173                           7/2                            8  
hf173                           1/2                            2  
ta173                           5/2                            6  
w173                            5/2                            6  
re173                           5/2                            6  
os173                           5/2                            6  
ir173                           1/2  3/2                       2   4  
pt173                           5/2                            6  
au173                           1/2                            2  
hg173                           7/2                            8  
tb174                           2                              5  
dy174                           0                              1  
ho174                           8                              17 
er174                           0                              1  
tm174                           4                              9  
yb174                           0                              1  
lu174                           1                              3  
hf174                           0                              1  
ta174                           3                              7  
w174                            0                              1  
re174                           3                              7  
os174                           0                              1  
ir174                           2    3                         5   7  
pt174                           0                              1  
au174                           3                              7  
hg174                           0                              1  
dy175                           1/2                            2  
ho175                           7/2                            8  
er175                           9/2                            10 
tm175                           1/2                            2  
yb175                           7/2                            8  
lu175                           7/2                            8  
hf175                           5/2                            6  
ta175                           7/2                            8  
w175                            1/2                            2  
re175                           5/2                            6  
os175                           5/2                            6  
ir175                           1/2                            2  
pt175                           7/2                            8  
au175                           1/2                            2  
hg175                           7/2                            8  
dy176                           0                              1  
ho176                           4                              9  
er176                           0                              1  
tm176                           4                              9  
yb176                           0                              1  
lu176                           7                              15 
hf176                           0                              1  
ta176                           1                              3  
w176                            0                              1  
re176                           3                              7  
os176                           0                              1  
ir176                           3                              7  
pt176                           0                              1  
au176                           3    4                         7   9  
hg176                           0                              1  
tl176                           3    4                         7   9  
ho177                           7/2                            8  
er177                           1/2                            2  
tm177                           1/2                            2  
yb177                           9/2                            10 
lu177                           7/2                            8  
hf177                           7/2                            8  
ta177                           7/2                            8  
w177                            1/2                            2  
re177                           5/2                            6  
os177                           1/2                            2  
ir177                           5/2                            6  
pt177                           5/2                            6  
au177                           1/2                            2  
hg177                           7/2                            8  
tl177                           1/2                            2  
ho178                           2                              5  
er178                           0                              1  
tm178                           1                              3  
yb178                           0                              1  
lu178                           1                              3  
hf178                           0                              1  
ta178                           7                              15 
w178                            0                              1  
re178                           3                              7  
os178                           0                              1  
ir178                           3                              7  
pt178                           0                              1  
au178                           2    3                         5   7  
hg178                           0                              1  
tl178                           4    5                         9   11 
pb178                           0                              1  
er179                           3/2                            4  
tm179                           1/2                            2  
yb179                           1/2                            2  
lu179                           7/2                            8  
hf179                           9/2                            10 
ta179                           7/2                            8  
w179                            7/2                            8  
re179                           5/2                            6  
os179                           1/2                            2  
ir179                           5/2                            6  
pt179                           1/2                            2  
au179                           1/2                            2  
hg179                           7/2                            8  
tl179                           1/2                            2  
pb179                           9/2                            10 
er180                           0                              1  
yb180                           0                              1  
lu180                           5                              11 
hf180                           0                              1  
ta180                           1                              3  
w180                            0                              1  
re180                           1                              3  
os180                           0                              1  
ir180                           5                              11 
pt180                           0                              1  
au180                           1                              3  
hg180                           0                              1  
tl180                           4                              9  
pb180                           0                              1  
tm181                           1/2                            2  
yb181                           3/2                            4  
lu181                           7/2                            8  
hf181                           1/2                            2  
ta181                           7/2                            8  
w181                            9/2                            10 
re181                           5/2                            6  
os181                           1/2                            2  
ir181                           5/2                            6  
pt181                           1/2                            2  
au181                           5/2                            6  
hg181                           1/2                            2  
tl181                           1/2                            2  
pb181                           9/2                            10 
yb182                           0                              1  
lu182                           1                              3  
hf182                           0                              1  
ta182                           3                              7  
w182                            0                              1  
re182                           7                              15 
os182                           0                              1  
ir182                           3                              7  
pt182                           0                              1  
au182                           2                              5  
hg182                           0                              1  
tl182                           4                              9  
pb182                           0                              1  
yb183                           3/2                            4  
lu183                           7/2                            8  
hf183                           3/2                            4  
ta183                           7/2                            8  
w183                            1/2                            2  
