# Ground state spin evaluation table: nubase2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==Nuclide==                 ==Spin==                  ==Number=of=States
ni55                            7/2                            8  
cu55                            3/2                            4  
zn55                            5/2                            6  
k56                             2                              5  
ca56                            0                              1  
sc56                            1                              3  
ti56                            0                              1  
v56                             1                              3  
cr56                            0                              1  
mn56                            3                              7  
fe56                            0                              1  
co56                            4                              9  
ni56                            0                              1  
cu56                            4                              9  
zn56                            0                              1  
ga56                            3                              7  
k57                             3/2                            4  
ca57                            5/2                            6  
sc57                            7/2                            8  
ti57                            5/2                            6  
v57                             7/2                            8  
cr57                            3/2                            4  
mn57                            5/2                            6  
fe57                            1/2                            2  
co57                            7/2                            8  
ni57                            3/2                            4  
cu57                            3/2                            4  
zn57                            7/2                            8  
ga57                            1/2                            2  
k58                             2                              5  
ca58                            0                              1  
sc58                            3                              7  
ti58                            0                              1  
v58                             1                              3  
cr58                            0                              1  
mn58                            1                              3  
fe58                            0                              1  
co58                            2                              5  
ni58                            0                              1  
cu58                            1                              3  
zn58                            0                              1  
ga58                            2                              5  
ge58                            0                              1  
k59                             3/2                            4  
ca59                            5/2                            6  
sc59                            7/2                            8  
ti59                            5/2                            6  
v59                             5/2                            6  
cr59                            1/2                            2  
mn59                            5/2                            6  
fe59                            3/2                            4  
co59                            7/2                            8  
ni59                            3/2                            4  
cu59                            3/2                            4  
zn59                            3/2                            4  
ga59                            3/2                            4  
ge59                            7/2                            8  
ca60                            0                              1  
sc60                            3                              7  
ti60                            0                              1  
v60                             3                              7  
cr60                            0                              1  
mn60                            1                              3  
fe60                            0                              1  
co60                            5                              11 
ni60                            0                              1  
cu60                            2                              5  
zn60                            0                              1  
ga60                            2                              5  
ge60                            0                              1  
as60                            5                              11 
ca61                            1/2                            2  
sc61                            7/2                            8  
ti61                            1/2                            2  
v61                             3/2                            4  
cr61                            5/2                            6  
mn61                            5/2                            6  
fe61                            3/2                            4  
co61                            7/2                            8  
ni61                            3/2                            4  
cu61                            3/2                            4  
zn61                            3/2                            4  
ga61                            3/2                            4  
ge61                            3/2                            4  
as61                            3/2                            4  
ti62                            0                              1  
v62                             3                              7  
cr62                            0                              1  
mn62                            1                              3  
fe62                            0                              1  
co62                            2                              5  
ni62                            0                              1  
cu62                            1                              3  
zn62                            0                              1  
ga62                            0                              1  
ge62                            0                              1  
as62                            1                              3  
sc63                            7/2                            8  
ti63                            1/2                            2  
v63                             3/2  5/2                       4   6  
cr63                            1/2                            2  
mn63                            5/2                            6  
fe63                            5/2                            6  
co63                            7/2                            8  
ni63                            1/2                            2  
cu63                            3/2                            4  
zn63                            3/2                            4  
ga63                            3/2                            4  
ge63                            3/2                            4  
as63                            3/2                            4  
se63                            3/2                            4  
ti64                            0                              1  
v64                             1    2                         3   5  
cr64                            0                              1  
mn64                            1                              3  
fe64                            0                              1  
co64                            1                              3  
ni64                            0                              1  
cu64                            1                              3  
zn64                            0                              1  
ga64                            0                              1  
ge64                            0                              1  
as64                            0                              1  
se64                            0                              1  
ti65                            1/2                            2  
v65                             5/2                            6  
cr65                            1/2                            2  
mn65                            5/2                            6  
fe65                            1/2                            2  
co65                            7/2                            8  
ni65                            5/2                            6  
cu65                            3/2                            4  
zn65                            5/2                            6  
ga65                            3/2                            4  
ge65                            3/2                            4  
as65                            3/2                            4  
se65                            3/2                            4  
br65                            5/2                            6  
cr66                            0                              1  
mn66                            1                              3  
fe66                            0                              1  
co66                            1                              3  
ni66                            0                              1  
cu66                            1                              3  
zn66                            0                              1  
ga66                            0                              1  
ge66                            0                              1  
as66                            0                              1  
se66                            0                              1  
br66                            0                              1  
v67                             5/2                            6  
cr67                            1/2                            2  
mn67                            5/2                            6  
fe67                            1/2                            2  
co67                            7/2                            8  
ni67                            1/2                            2  
cu67                            3/2                            4  
zn67                            5/2                            6  
ga67                            3/2                            4  
ge67                            1/2                            2  
as67                            5/2                            6  
se67                            5/2                            6  
br67                            1/2                            2  
kr67                            3/2                            4  
cr68                            0                              1  
mn68                            3                              7  
fe68                            0                              1  
co68                            7                              15 
ni68                            0                              1  
cu68                            1                              3  
zn68                            0                              1  
ga68                            1                              3  
ge68                            0                              1  
as68                            3                              7  
se68                            0                              1  
br68                            3                              7  
kr68                            0                              1  
cr69                            7/2                            8  
mn69                            5/2                            6  
fe69                            1/2                            2  
co69                            7/2                            8  
ni69                            9/2                            10 
cu69                            3/2                            4  
zn69                            1/2                            2  
ga69                            3/2                            4  
ge69                            5/2                            6  
