# AME Table file name: mass16.txt
N                   Z                   Ebind(MeV)/Nucleon
45                  34                  8.69559200000000132e+00
44                  35                  8.68759399999999893e+00
43                  36                  8.65711199999999970e+00
42                  37                  8.60114199999999940e+00
41                  38                  8.52381999999999884e+00
40                  39                  8.41696700000000142e+00
39                  40                  8.26699999999999946e+00
38                  41                  8.06600000000000072e+00
52                  28                  8.08000000000000007e+00
51                  29                  8.24000000000000021e+00
50                  30                  8.42354500000000073e+00
49                  31                  8.50845400000000041e+00
48                  32                  8.62757000000000041e+00
47                  33                  8.65127999999999986e+00
46                  34                  8.71081299999999992e+00
45                  35                  8.67765299999999939e+00
44                  36                  8.69292800000000021e+00
43                  37                  8.61167499999999997e+00
42                  38                  8.57859599999999922e+00
41                  39                  8.45427499999999910e+00
40                  40                  8.35999999999999943e+00
39                  41                  8.15099999999999980e+00
52                  29                  8.17900000000000027e+00
51                  30                  8.35192499999999960e+00
50                  31                  8.48335699999999981e+00
49                  32                  8.58065799999999967e+00
48                  33                  8.64805600000000041e+00
47                  34                  8.68599899999999892e+00
46                  35                  8.69594599999999929e+00
45                  36                  8.68281999999999954e+00
44                  37                  8.64551300000000111e+00
43                  38                  8.58735399999999949e+00
42                  39                  8.50590200000000074e+00
41                  40                  8.39435800000000043e+00
40                  41                  8.24799999999999933e+00
39                  42                  8.05799999999999983e+00
53                  29                  8.10299999999999976e+00
52                  30                  8.30111699999999963e+00
51                  31                  8.42104900000000001e+00
50                  32                  8.56375599999999970e+00
49                  33                  8.61141399999999990e+00
48                  34                  8.69319600000000037e+00
47                  35                  8.68249400000000016e+00
46                  36                  8.71067499999999839e+00
45                  37                  8.64742700000000042e+00
44                  38                  8.63571800000000067e+00
43                  39                  8.52927500000000016e+00
42                  40                  8.46567600000000020e+00
41                  41                  8.31499999999999950e+00
40                  42                  8.16300000000000026e+00
53                  30                  8.22600000000000087e+00
52                  31                  8.37257500000000121e+00
51                  32                  8.50434499999999893e+00
50                  33                  8.59965299999999999e+00
49                  34                  8.65855499999999978e+00
48                  35                  8.69338400000000000e+00
47                  36                  8.69572900000000004e+00
46                  37                  8.67521800000000098e+00
45                  38                  8.63840699999999906e+00
44                  39                  8.57365600000000150e+00
43                  40                  8.48839899999999936e+00
42                  41                  8.37830399999999997e+00
41                  42                  8.23399999999999999e+00
40                  43                  8.04299999999999926e+00
54                  30                  8.17200000000000060e+00
53                  31                  8.30700000000000038e+00
52                  32                  8.46552400000000027e+00
51                  33                  8.54793800000000026e+00
50                  34                  8.65879299999999930e+00
49                  35                  8.67132900000000006e+00
48                  36                  8.71744600000000069e+00
47                  37                  8.67622399999999949e+00
46                  38                  8.67751200000000011e+00
45                  39                  8.58778000000000041e+00
44                  40                  8.54902900000000088e+00
43                  41                  8.41825200000000073e+00
42                  42                  8.32499999999999929e+00
41                  43                  8.11999999999999922e+00
55                  30                  8.09200000000000053e+00
54                  31                  8.25500000000000078e+00
53                  32                  8.40176800000000057e+00
52                  33                  8.51098400000000055e+00
51                  34                  8.61030399999999929e+00
50                  35                  8.67359200000000108e+00
49                  36                  8.69856199999999902e+00
48                  37                  8.69744100000000131e+00
47                  38                  8.67571800000000160e+00
46                  39                  8.62814799999999948e+00
45                  40                  8.56403900000000107e+00
44                  41                  8.47371099999999977e+00
43                  42                  8.36133099999999985e+00
42                  43                  8.21499999999999986e+00
41                  44                  8.02999999999999936e+00
55                  31                  8.18599999999999994e+00
54                  32                  8.35462900000000097e+00
53                  33                  8.45672099999999993e+00
52                  34                  8.58182200000000073e+00
51                  35                  8.63236500000000007e+00
50                  36                  8.71202900000000113e+00
49                  37                  8.69690100000000044e+00
48                  38                  8.70845599999999997e+00
47                  39                  8.63842799999999933e+00
46                  40                  8.61405099999999990e+00
45                  41                  8.50222199999999972e+00
44                  42                  8.43470900000000157e+00
43                  43                  8.27999999999999936e+00
42                  44                  8.13299999999999912e+00
56                  31                  8.12899999999999956e+00
55                  32                  8.28999999999999915e+00
54                  33                  8.41385100000000108e+00
53                  34                  8.52909100000000109e+00
52                  35                  8.60590999999999973e+00
51                  36                  8.67528300000000030e+00
50                  37                  8.71098300000000059e+00
49                  38                  8.70523600000000108e+00
48                  39                  8.67484399999999845e+00
47                  40                  8.62365400000000015e+00
46                  41                  8.55175700000000028e+00
45                  42                  8.46242400000000039e+00
44                  43                  8.34774400000000050e+00
43                  44                  8.19899999999999984e+00
56                  32                  8.24300000000000033e+00
55                  33                  8.35399999999999920e+00
54                  34                  8.49500400000000155e+00
53                  35                  8.56374699999999933e+00
52                  36                  8.65684899999999935e+00
51                  37                  8.68111500000000014e+00
50                  38                  8.73259499999999989e+00
49                  39                  8.68253900000000023e+00
48                  40                  8.66603299999999876e+00
47                  41                  8.57242400000000160e+00
46                  42                  8.52390799999999871e+00
45                  43                  8.38995800000000003e+00
44                  44                  8.29800000000000004e+00
43                  45                  8.08999999999999986e+00
57                  32                  8.16900000000000048e+00
56                  33                  8.30700000000000038e+00
55                  34                  8.43527900000000130e+00
54                  35                  8.53077900000000078e+00
53                  36                  8.61481500000000011e+00
52                  37                  8.66418900000000036e+00
51                  38                  8.70592200000000105e+00
50                  39                  8.71397799999999911e+00
49                  40                  8.67335899999999960e+00
48                  41                  8.61681199999999947e+00
47                  42                  8.54498400000000125e+00
46                  43                  8.45057500000000061e+00
45                  44                  8.33900000000000041e+00
44                  45                  8.19100000000000072e+00
58                  32                  8.11800000000000033e+00
57                  33                  8.24399999999999977e+00
56                  34                  8.39576600000000006e+00
55                  35                  8.47818599999999911e+00
54                  36                  8.59125900000000087e+00
53                  37                  8.63151200000000074e+00
52                  38                  8.69597199999999937e+00
51                  39                  8.69334499999999899e+00
50                  40                  8.70996899999999918e+00
49                  41                  8.63337600000000016e+00
48                  42                  8.59702799999999989e+00
47                  43                  8.48335900000000009e+00
46                  44                  8.40976799999999969e+00
45                  45                  8.25500000000000078e+00
44                  46                  8.11299999999999955e+00
58                  33                  8.19299999999999962e+00
57                  34                  8.33483700000000027e+00
56                  35                  8.44192300000000095e+00
55                  36                  8.54175099999999965e+00
54                  37                  8.60756100000000046e+00
53                  38                  8.66387500000000088e+00
52                  39                  8.68494100000000024e+00
51                  40                  8.69331400000000087e+00
50                  41                  8.67089700000000008e+00
49                  42                  8.61362800000000028e+00
48                  43                  8.53665500000000144e+00
47                  44                  8.44292800000000021e+00
46                  45                  8.32799999999999940e+00
45                  46                  8.18099999999999916e+00
59                  33                  8.12700000000000067e+00
58                  34                  8.28999999999999915e+00
57                  35                  8.38491100000000067e+00
56                  36                  8.51267400000000052e+00
55                  37                  8.56942200000000120e+00
54                  38                  8.64890600000000020e+00
53                  39                  8.66158899999999932e+00
52                  40                  8.69267799999999902e+00
51                  41                  8.66237199999999952e+00
50                  42                  8.65772999999999904e+00
49                  43                  8.56354299999999924e+00
48                  44                  8.50477299999999836e+00
47                  45                  8.37341999999999942e+00
46                  46                  8.27299999999999969e+00
45                  47                  8.07499999999999929e+00
59                  34                  8.22300000000000075e+00
58                  35                  8.34559800000000074e+00
57                  36                  8.45810799999999929e+00
56                  37                  8.54091999999999985e+00
55                  38                  8.61278700000000086e+00
54                  39                  8.64890500000000095e+00
53                  40                  8.67162000000000077e+00
52                  41                  8.66418399999999878e+00
51                  42                  8.65140899999999924e+00
50                  43                  8.60857699999999859e+00
49                  44                  8.53146199999999943e+00
48                  45                  8.43482500000000002e+00
47                  46                  8.31900000000000084e+00
46                  47                  8.17300000000000004e+00
60                  34                  8.17999999999999972e+00
59                  35                  8.28400000000000070e+00
58                  36                  8.42433100000000046e+00
57                  37                  8.49276399999999931e+00
56                  38                  8.59383400000000108e+00
55                  39                  8.62280600000000064e+00
54                  40                  8.66680099999999953e+00
53                  41                  8.64890100000000039e+00
52                  42                  8.66233300000000028e+00
51                  43                  8.60873600000000039e+00
50                  44                  8.58366099999999932e+00
49                  45                  8.47240200000000065e+00
48                  46                  8.39168200000000120e+00
47                  47                  8.23799999999999955e+00
46                  48                  8.09900000000000020e+00
61                  34                  8.11200000000000010e+00
60                  35                  8.24399999999999977e+00
59                  36                  8.36599500000000162e+00
58                  37                  8.46020799999999973e+00
57                  38                  8.54911099999999990e+00
56                  39                  8.60497299999999932e+00
55                  40                  8.64359199999999994e+00
54                  41                  8.64721199999999968e+00
53                  42                  8.64871999999999908e+00
52                  43                  8.62269000000000041e+00
51                  44                  8.58746999999999971e+00
50                  45                  8.52537000000000056e+00
49                  46                  8.42897999999999925e+00
48                  47                  8.31199999999999939e+00
47                  48                  8.16699999999999982e+00
61                  35                  8.18399999999999928e+00
60                  36                  8.33085100000000089e+00
59                  37                  8.40889600000000037e+00
58                  38                  8.52126499999999965e+00
57                  39                  8.56948799999999977e+00
56                  40                  8.63532700000000020e+00
55                  41                  8.62888599999999961e+00
54                  42                  8.65398699999999899e+00
53                  43                  8.61486599999999925e+00
52                  44                  8.60941200000000073e+00
51                  45                  8.53467300000000151e+00
50                  46                  8.49002000000000123e+00
49                  47                  8.36029000000000089e+00
48                  48                  8.25900000000000034e+00
47                  49                  8.06700000000000017e+00
62                  35                  8.14000000000000057e+00
61                  36                  8.26986400000000010e+00
60                  37                  8.37618600000000058e+00
59                  38                  8.47185599999999894e+00
58                  39                  8.54152200000000050e+00
57                  40                  8.60377900000000118e+00
56                  41                  8.62316799999999972e+00
55                  42                  8.63509200000000021e+00
54                  43                  8.62372500000000031e+00
53                  44                  8.60427900000000001e+00
52                  45                  8.55989399999999989e+00
51                  46                  8.50243000000000038e+00
50                  47                  8.42240500000000125e+00
49                  48                  8.30700000000000038e+00
48                  49                  8.16300000000000026e+00
63                  35                  8.08000000000000007e+00
62                  36                  8.23600000000000065e+00
61                  37                  8.33072899999999983e+00
60                  38                  8.44574500000000050e+00
59                  39                  8.49767699999999948e+00
58                  40                  8.58144799999999996e+00
57                  41                  8.59630099999999864e+00
56                  42                  8.63516800000000018e+00
55                  43                  8.61000399999999999e+00
54                  44                  8.62031299999999945e+00
53                  45                  8.56080299999999994e+00
52                  46                  8.53389899999999990e+00
51                  47                  8.44168599999999891e+00
50                  48                  8.37829499999999960e+00
49                  49                  8.23000000000000043e+00
63                  36                  8.17800000000000082e+00
62                  37                  8.29529999999999923e+00
61                  38                  8.40255200000000002e+00
60                  39                  8.47675499999999893e+00
59                  40                  8.53926399999999930e+00
58                  41                  8.57898500000000119e+00
57                  42                  8.60779699999999970e+00
56                  43                  8.61361000000000132e+00
55                  44                  8.60871199999999881e+00
54                  45                  8.58016300000000065e+00
53                  46                  8.53793000000000113e+00
52                  47                  8.47477400000000003e+00
51                  48                  8.39837299999999942e+00
50                  49                  8.30400000000000027e+00
49                  50                  8.16000000000000014e+00
64                  36                  8.14000000000000057e+00
63                  37                  8.24432000000000009e+00
62                  38                  8.37223400000000062e+00
61                  39                  8.43947600000000087e+00
60                  40                  8.52215299999999942e+00
59                  41                  8.54852900000000027e+00
58                  42                  8.60466200000000114e+00
57                  43                  8.59511800000000115e+00
56                  44                  8.61935900000000110e+00
55                  45                  8.57517200000000024e+00
54                  46                  8.56356600000000157e+00
53                  47                  8.48499400000000037e+00
52                  48                  8.43773699999999849e+00
51                  49                  8.33109699999999975e+00
50                  50                  8.25297400000000003e+00
65                  36                  8.08099999999999952e+00
64                  37                  8.20899999999999963e+00
63                  38                  8.32474000000000025e+00
62                  39                  8.41339099999999895e+00
61                  40                  8.48589199999999977e+00
60                  41                  8.53483499999999928e+00
59                  42                  8.57291500000000006e+00
58                  43                  8.59313600000000122e+00
57                  44                  8.60136499999999948e+00
56                  45                  8.58821600000000096e+00
55                  46                  8.56086399999999870e+00
54                  47                  8.51254600000000039e+00
53                  48                  8.45036499999999968e+00
52                  49                  8.37100000000000044e+00
51                  50                  8.28110200000000063e+00
65                  37                  8.15700000000000003e+00
64                  38                  8.29121999999999915e+00
63                  39                  8.37192199999999964e+00
62                  40                  8.46635500000000008e+00
61                  41                  8.50492799999999960e+00
60                  42                  8.56845000000000034e+00
59                  43                  8.57064999999999877e+00
58                  44                  8.60742699999999950e+00
57                  45                  8.57698099999999997e+00
56                  46                  8.58029000000000153e+00
55                  47                  8.51716400000000107e+00
54                  48                  8.48413099999999964e+00
53                  49                  8.38857100000000067e+00
52                  50                  8.32442999999999955e+00
66                  37                  8.11700000000000088e+00
65                  38                  8.24300000000000033e+00
64                  39                  8.34263800000000089e+00
63                  40                  8.42589500000000058e+00
62                  41                  8.48833100000000051e+00
61                  42                  8.53832799999999992e+00
60                  43                  8.56610300000000002e+00
59                  44                  8.58436500000000002e+00
58                  45                  8.58419199999999982e+00
57                  46                  8.57101899999999972e+00
56                  47                  8.53765100000000032e+00
55                  48                  8.48975400000000135e+00
54                  49                  8.42372099999999868e+00
53                  50                  8.34175699999999942e+00
52                  51                  8.22899999999999920e+00
66                  38                  8.21000000000000085e+00
65                  39                  8.29800000000000004e+00
64                  40                  8.40237699999999954e+00
63                  41                  8.45345900000000050e+00
62                  42                  8.52796500000000002e+00
61                  43                  8.54114899999999899e+00
60                  44                  8.58739899999999956e+00
59                  45                  8.56894899999999993e+00
58                  46                  8.58484799999999915e+00
57                  47                  8.53618399999999866e+00
56                  48                  8.51762199999999936e+00
55                  49                  8.43523699999999899e+00
54                  50                  8.38391099999999945e+00
53                  51                  8.25664399999999965e+00
67                  38                  8.15600000000000058e+00
66                  39                  8.26902000000000115e+00
65                  40                  8.35865899999999939e+00
64                  41                  8.43169199999999996e+00
63                  42                  8.49492300000000000e+00
62                  43                  8.53464300000000087e+00
61                  44                  8.56189999999999962e+00
60                  45                  8.57270399999999988e+00
59                  46                  8.57064999999999877e+00
58                  47                  8.55037000000000091e+00
57                  48                  8.51685200000000009e+00
56                  49                  8.46470399999999934e+00
55                  50                  8.39722799999999836e+00
54                  51                  8.30099200000000081e+00
53                  52                  8.18683599999999956e+00
68                  38                  8.11899999999999977e+00
67                  39                  8.21799999999999997e+00
66                  40                  8.32845000000000013e+00
65                  41                  8.39327100000000037e+00
64                  42                  8.47958099999999959e+00
63                  43                  8.50655599999999978e+00
62                  44                  8.56094000000000044e+00
61                  45                  8.55393100000000040e+00
60                  46                  8.57999200000000073e+00
59                  47                  8.54463900000000010e+00
58                  48                  8.53904800000000108e+00
57                  49                  8.47012000000000143e+00
56                  50                  8.43203800000000037e+00
55                  51                  8.32201200000000085e+00
54                  52                  8.23676700000000039e+00
69                  38                  8.06400000000000006e+00
68                  39                  8.18200000000000038e+00
67                  40                  8.28707299999999947e+00
66                  41                  8.36708900000000000e+00
65                  42                  8.44228000000000023e+00
64                  43                  8.49289700000000103e+00
63                  44                  8.53336599999999912e+00
62                  45                  8.55410299999999957e+00
61                  46                  8.56089400000000111e+00
60                  47                  8.55390000000000050e+00
59                  48                  8.53335099999999969e+00
58                  49                  8.49402100000000004e+00
57                  50                  8.43949399999999983e+00
56                  51                  8.35873400000000011e+00
55                  52                  8.25689899999999888e+00
54                  53                  8.14600000000000080e+00
69                  39                  8.13400000000000034e+00
68                  40                  8.25699999999999967e+00
67                  41                  8.32566500000000076e+00
66                  42                  8.42221899999999835e+00
65                  43                  8.46281600000000012e+00
64                  44                  8.52722499999999961e+00
63                  45                  8.53266999999999953e+00
62                  46                  8.56702299999999894e+00
61                  47                  8.54202499999999887e+00
60                  48                  8.55001900000000070e+00
59                  49                  8.49525099999999966e+00
58                  50                  8.46902700000000053e+00
57                  51                  8.37266599999999883e+00
56                  52                  8.30372099999999946e+00
55                  53                  8.17488400000000048e+00
70                  39                  8.09600000000000009e+00
69                  40                  8.20800000000000018e+00
68                  41                  8.29712999999999923e+00
67                  42                  8.38147700000000029e+00
66                  43                  8.44417799999999907e+00
65                  44                  8.49622700000000108e+00
64                  45                  8.52814199999999900e+00
63                  46                  8.54488199999999942e+00
62                  47                  8.54791500000000148e+00
61                  48                  8.53876399999999869e+00
60                  49                  8.51310199999999995e+00
59                  50                  8.47051800000000021e+00
58                  51                  8.40481500000000104e+00
57                  52                  8.31933000000000078e+00
56                  53                  8.22001599999999932e+00
55                  54                  8.10730599999999946e+00
70                  40                  8.17699999999999960e+00
69                  41                  8.25525999999999982e+00
68                  42                  8.35935399999999973e+00
67                  43                  8.41125899999999938e+00
66                  44                  8.48631099999999883e+00
65                  45                  8.50425400000000131e+00
64                  46                  8.54716200000000015e+00
63                  47                  8.53210800000000091e+00
62                  48                  8.55127500000000040e+00
61                  49                  8.50890799999999992e+00
60                  50                  8.49608699999999928e+00
59                  51                  8.41268100000000096e+00
58                  52                  8.35811499999999974e+00
57                  53                  8.24404299999999957e+00
56                  54                  8.15927999999999898e+00
71                  40                  8.12800000000000011e+00
70                  41                  8.22300000000000075e+00
69                  42                  8.31529199999999946e+00
68                  43                  8.39008899999999969e+00
67                  44                  8.45295699999999961e+00
66                  45                  8.49563099999999949e+00
65                  46                  8.52174899999999980e+00
64                  47                  8.53478699999999968e+00
63                  48                  8.53707900000000031e+00
62                  49                  8.52228199999999880e+00
61                  50                  8.49312999999999896e+00
60                  51                  8.44012000000000029e+00
59                  52                  8.36776300000000006e+00
58                  53                  8.28293399999999913e+00
57                  54                  8.18076600000000020e+00
56                  55                  8.06900000000000084e+00
72                  40                  8.09399999999999942e+00
71                  41                  8.17999999999999972e+00
70                  42                  8.29100000000000037e+00
69                  43                  8.35362099999999863e+00
68                  44                  8.43924200000000013e+00
67                  45                  8.46887000000000079e+00
66                  46                  8.52072399999999952e+00
65                  47                  8.51608000000000054e+00
64                  48                  8.54472999999999949e+00
63                  49                  8.51466699999999932e+00
62                  50                  8.51361800000000102e+00
61                  51                  8.44363199999999914e+00
60                  52                  8.40065200000000090e+00
59                  53                  8.29987900000000067e+00
58                  54                  8.23006400000000049e+00
57                  55                  8.10043500000000094e+00
72                  41                  8.14600000000000080e+00
71                  42                  8.24499999999999922e+00
70                  43                  8.32946399999999976e+00
69                  44                  8.40268799999999949e+00
68                  45                  8.45682099999999970e+00
67                  46                  8.49258400000000080e+00
66                  47                  8.51606500000000111e+00
65                  48                  8.52698699999999832e+00
64                  49                  8.52292899999999953e+00
63                  50                  8.50681099999999901e+00
62                  51                  8.46527500000000011e+00
61                  52                  8.40463600000000000e+00
60                  53                  8.33375200000000049e+00
59                  54                  8.24792699999999890e+00
58                  55                  8.14862199999999959e+00
57                  56                  8.03599999999999959e+00
73                  41                  8.09999999999999964e+00
72                  42                  8.22000000000000064e+00
71                  43                  8.29025900000000071e+00
70                  44                  8.38533999999999935e+00
69                  45                  8.42662400000000034e+00
68                  46                  8.48801000000000094e+00
67                  47                  8.49377800000000072e+00
66                  48                  8.53151300000000035e+00
65                  49                  8.51197299999999935e+00
64                  50                  8.52256600000000120e+00
63                  51                  8.46251799999999932e+00
62                  52                  8.43277800000000077e+00
61                  53                  8.34600000000000009e+00
60                  54                  8.28920499999999905e+00
59                  55                  8.17353799999999886e+00
58                  56                  8.08968600000000038e+00
74                  41                  8.06499999999999950e+00
73                  42                  8.17500000000000071e+00
72                  43                  8.26852700000000063e+00
71                  44                  8.34754700000000049e+00
70                  45                  8.41065799999999975e+00
69                  46                  8.45773799999999909e+00
68                  47                  8.49055500000000052e+00
67                  48                  8.51072399999999973e+00
66                  49                  8.51654599999999995e+00
65                  50                  8.51406899999999922e+00
64                  51                  8.48091500000000131e+00
63                  52                  8.43114999999999881e+00
62                  53                  8.37456399999999945e+00
61                  54                  8.30096999999999952e+00
60                  55                  8.21599999999999930e+00
59                  56                  8.11700000000000088e+00
74                  42                  8.14600000000000080e+00
73                  43                  8.22499999999999964e+00
72                  44                  8.32688300000000048e+00
71                  45                  8.37761500000000048e+00
70                  46                  8.44927999999999990e+00
69                  47                  8.46590699999999963e+00
68                  48                  8.51234999999999964e+00
67                  49                  8.50161699999999954e+00
66                  50                  8.52311599999999991e+00
65                  51                  8.47582099999999983e+00
64                  52                  8.45568699999999929e+00
63                  53                  8.38190200000000019e+00
62                  54                  8.33683400000000141e+00
61                  55                  8.23499999999999943e+00
60                  56                  8.16399999999999970e+00
59                  57                  8.03700000000000081e+00
75                  42                  8.09999999999999964e+00
74                  43                  8.19699999999999918e+00
73                  44                  8.28556200000000054e+00
72                  45                  8.35928100000000107e+00
71                  46                  8.41692899999999966e+00
70                  47                  8.45945199999999886e+00
69                  48                  8.48897299999999966e+00
68                  49                  8.50386499999999934e+00
67                  50                  8.50961100000000137e+00
66                  51                  8.48789700000000025e+00
65                  52                  8.45091900000000074e+00
64                  53                  8.40440899999999935e+00
63                  54                  8.34429700000000096e+00
62                  55                  8.27186399999999900e+00
61                  56                  8.18795300000000026e+00
60                  57                  8.08699999999999974e+00
76                  42                  8.06900000000000084e+00
75                  43                  8.15700000000000003e+00
74                  44                  8.26500000000000057e+00
73                  45                  8.32285800000000009e+00
72                  46                  8.40522200000000019e+00
71                  47                  8.43388899999999886e+00
70                  48                  8.48783400000000121e+00
69                  49                  8.48566699999999940e+00
68                  50                  8.51653299999999902e+00
67                  51                  8.47891500000000065e+00
66                  52                  8.46974599999999889e+00
65                  53                  8.40612000000000137e+00
64                  54                  8.37498100000000001e+00
63                  55                  8.28640400000000099e+00
62                  56                  8.22799999999999976e+00
61                  57                  8.11299999999999955e+00
76                  43                  8.12800000000000011e+00
75                  44                  8.22400000000000020e+00
74                  45                  8.30339400000000083e+00
73                  46                  8.36896400000000007e+00
72                  47                  8.42321199999999948e+00
71                  48                  8.46143799999999935e+00
70                  49                  8.48614300000000021e+00
69                  50                  8.49944900000000025e+00
68                  51                  8.48790999999999940e+00
67                  52                  8.46206600000000009e+00
66                  53                  8.42678900000000120e+00
65                  54                  8.37844100000000047e+00
64                  55                  8.31733400000000067e+00
63                  56                  8.24592799999999926e+00
62                  57                  8.15700000000000003e+00
61                  58                  8.05899999999999928e+00
77                  43                  8.08699999999999974e+00
76                  44                  8.20100000000000051e+00
75                  45                  8.26800000000000068e+00
74                  46                  8.35708499999999965e+00
73                  47                  8.39532699999999998e+00
72                  48                  8.45802299999999896e+00
71                  49                  8.46626200000000040e+00
70                  50                  8.50449200000000083e+00
69                  51                  8.47563500000000047e+00
68                  52                  8.47703399999999974e+00
67                  53                  8.42372199999999971e+00
66                  54                  8.40403100000000158e+00
65                  55                  8.32847999999999900e+00
64                  56                  8.28029399999999960e+00
63                  57                  8.17900000000000027e+00
62                  58                  8.10699999999999932e+00
78                  43                  8.05599999999999916e+00
77                  44                  8.15900000000000070e+00
76                  45                  8.24523899999999976e+00
75                  46                  8.32085799999999942e+00
74                  47                  8.38232999999999961e+00
73                  48                  8.43099599999999860e+00
72                  49                  8.46388700000000149e+00
71                  50                  8.48520099999999999e+00
70                  51                  8.48206600000000144e+00
69                  52                  8.46688299999999927e+00
68                  53                  8.44145800000000079e+00
67                  54                  8.40383199999999952e+00
66                  55                  8.35291400000000017e+00
65                  56                  8.29390699999999903e+00
64                  57                  8.21700000000000053e+00
63                  58                  8.13199999999999967e+00
62                  59                  8.03200000000000003e+00
78                  44                  8.13499999999999979e+00
77                  45                  8.21000000000000085e+00
76                  46                  8.30597500000000011e+00
75                  47                  8.35275799999999968e+00
74                  48                  8.42426599999999937e+00
73                  49                  8.44211800000000068e+00
72                  50                  8.48790699999999987e+00
71                  51                  8.46833100000000094e+00
70                  52                  8.47813999999999979e+00
69                  53                  8.43702299999999994e+00
68                  54                  8.42466399999999993e+00
67                  55                  8.35915100000000066e+00
66                  56                  8.32375599999999949e+00
65                  57                  8.23499999999999943e+00
64                  58                  8.17399999999999949e+00
63                  59                  8.06000000000000050e+00
79                  44                  8.09299999999999997e+00
78                  45                  8.18599999999999994e+00
77                  46                  8.27003100000000124e+00
76                  47                  8.33780299999999919e+00
75                  48                  8.39539500000000061e+00
74                  49                  8.43794600000000017e+00
73                  50                  8.46724299999999985e+00
72                  51                  8.47232799999999919e+00
71                  52                  8.46554599999999979e+00
70                  53                  8.44919800000000087e+00
69                  54                  8.42092699999999894e+00
68                  55                  8.38037900000000135e+00
67                  56                  8.33020800000000072e+00
66                  57                  8.26699999999999946e+00
65                  58                  8.19299999999999962e+00
64                  59                  8.10399999999999920e+00
80                  44                  8.06799999999999962e+00
79                  45                  8.14899999999999913e+00
78                  46                  8.25200000000000067e+00
77                  47                  8.30865499999999990e+00
76                  48                  8.38703499999999913e+00
75                  49                  8.41434300000000057e+00
74                  50                  8.46742099999999986e+00
73                  51                  8.45616000000000057e+00
72                  52                  8.47327899999999978e+00
71                  53                  8.44148899999999891e+00
70                  54                  8.43756500000000109e+00
69                  55                  8.38343200000000088e+00
68                  56                  8.35581999999999958e+00
67                  57                  8.27829199999999865e+00
66                  58                  8.22899999999999920e+00
65                  59                  8.12800000000000011e+00
64                  60                  8.05199999999999960e+00
80                  45                  8.12599999999999945e+00
79                  46                  8.21599999999999930e+00
78                  47                  8.29331400000000052e+00
77                  48                  8.35768100000000125e+00
76                  49                  8.40845199999999870e+00
75                  50                  8.44554999999999900e+00
74                  51                  8.45817000000000085e+00
73                  52                  8.45804500000000026e+00
72                  53                  8.45029999999999859e+00
71                  54                  8.43088999999999977e+00
70                  55                  8.39978800000000092e+00
69                  56                  8.35817800000000055e+00
68                  57                  8.30464300000000044e+00
67                  58                  8.24200000000000088e+00
66                  59                  8.16600000000000037e+00
65                  60                  8.07699999999999996e+00
