!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T)  dQ     Vs      mu       e-cap-rate    nu-energy-loss  gamma-energy
!                 (MeV)     (MeV)     (MeV)       (1/s)             (MeV/s)        (MeV/s)  
1.000000e+08 1.000000e+09 -9.502530e-08 3.066573e-08 3.873110e-06 2.446189e+00 1.547823e-05 3.683929e-06
1.000000e+08 1.122018e+09 -9.395184e-08 3.066573e-08 3.868944e-06 2.462408e+00 1.561174e-05 3.660592e-06
1.000000e+08 1.258925e+09 -9.279827e-08 3.066573e-08 3.863497e-06 2.477365e+00 1.573589e-05 3.639245e-06
1.000000e+08 1.412538e+09 -9.159663e-08 3.066573e-08 3.856768e-06 2.491208e+00 1.585153e-05 3.620023e-06
1.000000e+08 1.584893e+09 -9.033091e-08 3.066573e-08 3.848436e-06 2.503917e+00 1.595957e-05 3.602810e-06
1.000000e+08 1.778279e+09 -8.900110e-08 3.066573e-08 3.837702e-06 2.515649e+00 1.606243e-05 3.587825e-06
1.000000e+08 1.995262e+09 -8.760720e-08 3.066573e-08 3.824404e-06 2.526620e+00 1.615516e-05 3.575043e-06
1.000000e+08 2.238721e+09 -8.614922e-08 3.066573e-08 3.807421e-06 2.536822e+00 1.624843e-05 3.564522e-06
1.000000e+08 2.511886e+09 -8.462715e-08 3.066573e-08 3.786272e-06 2.546713e+00 1.634223e-05 3.556488e-06
1.000000e+08 2.818383e+09 -8.304099e-08 3.066573e-08 3.759515e-06 2.556525e+00 1.643657e-05 3.551005e-06
1.000000e+08 3.162278e+09 -8.139074e-08 3.066573e-08 3.725870e-06 2.566729e+00 1.653527e-05 3.548308e-06
1.000000e+08 3.548134e+09 -7.967641e-08 3.066573e-08 3.683412e-06 2.577923e+00 1.664989e-05 3.548798e-06
1.000000e+08 3.981072e+09 -7.791401e-08 3.066573e-08 3.630059e-06 2.590956e+00 1.678461e-05 3.552641e-06
