Label|Author|Title|Publisher|Year|
pkrF|Panov, I.V.|FRDM Neutron-induced astrophysical reaction rates|Astron. Astrophys. 513, A69|2010
pkrH|Panov, I.V.|HFB14 Neutron-induced astrophysical reaction rates|Astron. Astrophys. 513, A69|2010
pkrT|Panov, I.V.|TF Neutron-induced astrophysical reaction rates|Astron. Astrophys. 513, A69|2010
ppde|-|pp-->denu reaction rate|-|0
pt05|R.G. Pizzone et al.|Trojan Horse estimate of bare nucleus astrophysical S(E)-factor for the 6Li(p,&alpha;)|A & A 438, 779-784|2005
rath|Rauscher, T|NON-SMOKER Hauser-Feshbach w/ FRDM Mass Input|ADNDT 75, 1, p1-351|2000
rh10|Hoffman, R.D.|Reaction rate sensitivity of 44Ti production in massive stars and implications of a thick target yield measurement of 40Ca(a,g)44Ti|ApJ 715, 1383|2010
rk12|Rauscher, T|Astrophysical analysis of the measurement of (&alpha;,&gamma;) and (&alpha;,n) cross sections of 169Tm|PRC 86, 015804|2012
ro95|Stegmuller, F|22Na(p,g)23Mg resonant reaction at low energies|Nucl. Phys. A601, 168|1996
rolf|Hulke, G|Comparison of the fusion reactions 12C + 20Ne and 16O + 16O near the coulomb barrier|Zeitschrift fur Physik A297, 1|1980
rpsm|T. Rauscher|NON-SMOKER Hauser Feshbach rates with Audi Wapastra masses|private communication|1999
sa12|Sauerwein et al|Investigation of the reaction 74Ge( p,&gamma;)75As using the in-beam method to improve reaction network predictions for p nuclei|PHYSICAL REVIEW C 86, 035802|2012
sb05|H. Schatz|Revised result for the Cl32(p,&gamma;)Ar33 reaction rate for astrophysical rp-process calculations|PRC 72, 065804|2005
se19|K. Setoodehnia et al.,|Impact of 16O(?,?)12C measurements on the 12C(?,?)16O astrophysical reaction rate|(2019) Phys.Rev.C 99, 055802|2019
sh03|N.C. Shu|New Astrophysical Reaction Rates for 18F(p,&alpha;)15O and 18F(p,&gamma;)19Ne|Chinese Physics Letters 20, 14|2003
sh05|N.C. Shu|The C11(p,&gamma;)N12 reaction rate and the covnersion of He3 into CNO|NPA 758, 419|2005
si13|A. Simon et al.|Systematic study of (p,&gamma;) reactions on Ni isotopes|Phys. Rev. C 87, 055802|2013
SM86|Sevior, M.E.|Cross Sections for Proton Induced Reactions on <sup>41</sup>K and for the Reaction <sup>62</sup>Ni(&alpha;,p)<sup>65</sup>Cu|NPA 454, 128-142|1986
