!18F (1+, 3+, 5+) -> 18O    e-capture   with screening effects
!USDB ,   GT,    Q (18F-18O) = 1.6559 MeV 
!Experimental data are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 

1.096478e+08 7.079458e+08 4.005450e-06 7.908360e-08 2.369624e-08 3.085390e-01 1.554194e-06 4.270820e-11
1.096478e+08 7.943282e+08 4.003367e-06 7.810628e-08 2.369624e-08 3.091078e-01 1.559037e-06 4.377350e-11
1.096478e+08 8.912509e+08 4.000804e-06 7.709690e-08 2.369624e-08 3.098418e-01 1.565220e-06 4.745820e-11
1.096478e+08 1.000000e+09 3.997599e-06 7.602344e-08 2.369624e-08 3.107063e-01 1.572637e-06 5.981517e-11
1.096478e+08 1.122018e+09 3.993434e-06 7.490192e-08 2.369624e-08 3.117597e-01 1.581740e-06 9.729966e-11
1.096478e+08 1.258925e+09 3.988307e-06 7.371630e-08 2.369624e-08 3.130113e-01 1.592742e-06 1.988892e-10
1.096478e+08 1.412538e+09 3.981738e-06 7.248262e-08 2.369624e-08 3.144344e-01 1.605693e-06 4.452576e-10
1.096478e+08 1.584893e+09 3.973567e-06 7.118486e-08 2.369624e-08 3.159876e-01 1.620706e-06 9.858511e-10
1.096478e+08 1.778279e+09 3.963313e-06 6.985505e-08 2.369624e-08 3.175192e-01 1.637151e-06 2.067337e-09
1.096478e+08 1.995262e+09 3.950335e-06 6.844513e-08 2.369624e-08 3.187425e-01 1.653923e-06 4.057059e-09
1.096478e+08 2.238721e+09 3.933833e-06 6.700317e-08 2.369624e-08 3.193155e-01 1.669461e-06 7.444085e-09
1.096478e+08 2.511886e+09 3.913325e-06 6.549712e-08 2.369624e-08 3.187866e-01 1.681800e-06 1.282364e-08
1.096478e+08 2.818383e+09 3.887369e-06 6.395903e-08 2.369624e-08 3.168327e-01 1.689500e-06 2.081188e-08
1.096478e+08 3.162278e+09 3.854685e-06 6.235685e-08 2.369624e-08 3.132204e-01 1.691739e-06 3.198978e-08
1.096478e+08 3.548134e+09 3.813669e-06 6.443968e-08 2.369624e-08 3.077372e-01 1.686791e-06 4.671015e-08
1.096478e+08 3.981072e+09 3.761919e-06 6.320600e-08 2.369624e-08 3.018492e-01 1.685393e-06 6.552565e-08

1.096478e+08 4.466836e+09 3.696870e-06 5.726191e-08 2.369624e-08 2.966334e-01 1.695010e-06 8.902486e-08
1.148154e+08 1.000000e+07 4.064570e-06 9.419216e-08 2.406474e-08 3.168765e-01 1.594035e-06 4.346216e-11
1.148154e+08 1.584893e+07 4.065852e-06 9.383968e-08 2.406474e-08 3.188453e-01 1.605529e-06 4.387441e-11
1.148154e+08 2.511886e+07 4.067775e-06 9.335903e-08 2.406474e-08 3.221959e-01 1.625112e-06 4.457705e-11
1.148154e+08 3.981072e+07 4.070178e-06 9.270213e-08 2.406474e-08 3.245413e-01 1.638879e-06 4.507246e-11
1.148154e+08 6.309573e+07 4.071940e-06 9.183696e-08 2.406474e-08 3.253344e-01 1.643680e-06 4.525966e-11
1.148154e+08 1.000000e+08 4.072581e-06 9.066737e-08 2.406474e-08 3.255967e-01 1.645502e-06 4.533267e-11
1.148154e+08 1.122018e+08 4.072742e-06 9.033091e-08 2.406474e-08 3.256642e-01 1.645968e-06 4.535355e-11
1.148154e+08 1.258925e+08 4.072742e-06 8.996241e-08 2.406474e-08 3.257167e-01 1.646385e-06 4.537444e-11
1.148154e+08 1.412538e+08 4.072581e-06 8.957788e-08 2.406474e-08 3.257542e-01 1.646760e-06 4.539534e-11
1.148154e+08 1.584893e+08 4.072581e-06 8.914530e-08 2.406474e-08 3.258517e-01 1.647435e-06 4.542671e-11
1.148154e+08 1.778279e+08 4.072421e-06 8.869668e-08 2.406474e-08 3.259042e-01 1.647924e-06 4.545810e-11
1.148154e+08 1.995262e+08 4.072421e-06 8.821603e-08 2.406474e-08 3.260093e-01 1.648733e-06 4.548951e-11
